"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.48692080e-02,1.72357727e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.51521140e-02,1.68606569e-03,5.00000007e-02,0.00000000e+00,0.00000000e+00
3.00000000e+00,4.81856056e-02,0.00000000e+00,7.41006732e-02,5.60475932e-03,0.00000000e+00,5.00000007e-02,0.00000000e+00
1.00000000e+00,4.87990491e-02,-6.18545222e-04,7.47202858e-02,1.75394351e-03,5.00000007e-02,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.38549009e-02,1.66174106e-03,1.00000001e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,4.96089272e-02,-3.35513905e-04,7.44680390e-02,1.72325375e-03,1.00000001e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.41924196e-02,1.72357704e-03,1.50000006e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.01421615e-02,-4.68961109e-04,7.35919997e-02,1.77879166e-03,1.50000006e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.32875541e-02,1.71730388e-03,2.00000003e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.08555770e-02,-4.29355336e-04,7.31802136e-02,1.78624422e-03,2.00000003e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.29186311e-02,1.75837416e-03,2.50000000e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.17117307e-02,-6.19897386e-04,7.28696734e-02,1.83395366e-03,2.50000000e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.25509152e-02,1.79112551e-03,3.00000012e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.27006648e-02,-6.37084071e-04,7.22857714e-02,1.86512666e-03,3.00000012e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.19184875e-02,1.83220871e-03,3.49999994e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.38419411e-02,-7.32003304e-04,7.16678053e-02,1.91002479e-03,3.49999994e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.13092163e-02,1.87864399e-03,4.00000006e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.51540330e-02,-8.28770513e-04,7.10668489e-02,1.95706054e-03,4.00000006e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.06363693e-02,1.93614350e-03,4.49999988e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.66342883e-02,-9.13644966e-04,7.03501925e-02,2.01260392e-03,4.49999988e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.98461309e-02,1.99242495e-03,5.00000000e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.82773536e-02,-9.89236520e-04,6.94928840e-02,2.06765253e-03,5.00000000e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.89148605e-02,2.06171884e-03,5.50000012e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.00797683e-02,-1.08537625e-03,6.85685351e-02,2.13361159e-03,5.50000012e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.78999946e-02,2.13316455e-03,6.00000024e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.20496646e-02,-1.15584163e-03,6.75367266e-02,2.20192526e-03,6.00000024e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.68194741e-02,2.20861868e-03,6.49999976e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.41770735e-02,-1.23529066e-03,6.63341358e-02,2.27544294e-03,6.49999976e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.54336140e-02,2.29073805e-03,6.99999988e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.64344355e-02,-1.28858013e-03,6.50585368e-02,2.35554180e-03,6.99999988e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.42484501e-02,2.37556733e-03,7.50000000e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.88855797e-02,-1.43664761e-03,6.36853054e-02,2.43994943e-03,7.50000000e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.27256930e-02,2.47913995e-03,8.00000012e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.16159046e-02,-1.59800355e-03,6.22113422e-02,2.54088966e-03,8.00000012e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,6.09418303e-02,2.58881203e-03,8.50000024e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.45560229e-02,-1.67741382e-03,6.04323745e-02,2.63601495e-03,8.50000024e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.90263754e-02,2.70655705e-03,8.99999976e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.76500180e-02,-1.75607670e-03,5.83613850e-02,2.73960200e-03,8.99999976e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.67734204e-02,2.82617961e-03,9.49999988e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,8.09160098e-02,-1.83593144e-03,5.61557785e-02,2.84753344e-03,9.49999988e-01,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.43963723e-02,2.95326672e-03,1.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,8.43451619e-02,-1.92384596e-03,5.37356921e-02,2.96175294e-03,1.00000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.17843589e-02,3.08617088e-03,1.04999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,8.79352987e-02,-2.00419640e-03,5.10751717e-02,3.08121555e-03,1.04999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.89063188e-02,3.22427880e-03,1.10000002e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,9.16841850e-02,-2.08337931e-03,4.81867529e-02,3.20522604e-03,1.10000002e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.58064675e-02,3.36831226e-03,1.14999998e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,9.55813602e-02,-2.15818477e-03,4.50484939e-02,3.33400490e-03,1.14999998e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.24380079e-02,3.51718953e-03,1.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,9.96173695e-02,-2.22559227e-03,4.16567363e-02,3.46674235e-03,1.20000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.88070270e-02,3.67061514e-03,1.25000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.03778347e-01,-2.28568702e-03,3.80050503e-02,3.60299763e-03,1.25000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.49093825e-02,3.82798188e-03,1.29999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.08047433e-01,-2.33604782e-03,3.40853855e-02,3.74224829e-03,1.29999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.07349842e-02,3.98841407e-03,1.35000002e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.12406008e-01,-2.37561623e-03,2.98965909e-02,3.88377742e-03,1.35000002e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.62877438e-02,4.15114686e-03,1.39999998e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.16832517e-01,-2.40331725e-03,2.54374426e-02,4.02692799e-03,1.39999998e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.15675794e-02,4.31521563e-03,1.45000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.21303454e-01,-2.41787569e-03,2.07098667e-02,4.17093607e-03,1.45000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.65790021e-02,4.47960431e-03,1.50000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.25793487e-01,-2.41851993e-03,1.57193039e-02,4.31499630e-03,1.50000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.13308430e-02,4.64326190e-03,1.54999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.30275697e-01,-2.40454054e-03,1.04737282e-02,4.45829006e-03,1.54999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.83376130e-03,4.80506942e-03,1.60000002e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.34722099e-01,-2.37546931e-03,4.98468289e-03,4.59996099e-03,1.60000002e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.02615377e-04,4.96390229e-03,1.64999998e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.39104053e-01,-2.33114487e-03,-7.33083172e-04,4.73915366e-03,1.64999998e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-5.84463309e-03,5.11863315e-03,1.70000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.43392757e-01,-2.27163476e-03,-6.66170334e-03,4.87501966e-03,1.70000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.19870594e-02,5.26815187e-03,1.75000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.47559747e-01,-2.19730218e-03,-1.27801932e-02,5.00672916e-03,1.75000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.83006488e-02,5.41139441e-03,1.79999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.51577413e-01,-2.10878276e-03,-1.90648176e-02,5.13348775e-03,1.79999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-2.47589387e-02,5.54735726e-03,1.85000002e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.55419439e-01,-2.00696103e-03,-2.54893582e-02,5.25454944e-03,1.85000002e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-3.13332863e-02,5.67511935e-03,1.89999998e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.59061372e-01,-1.89296040e-03,-3.20255086e-02,5.36922412e-03,1.89999998e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-3.79933044e-02,5.79385553e-03,1.95000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.62480906e-01,-1.76810054e-03,-3.86433266e-02,5.47689339e-03,1.95000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-4.47074361e-02,5.90285100e-03,2.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.65658310e-01,-1.63386157e-03,-4.53117155e-02,5.57701290e-03,2.00000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-5.14433943e-02,6.00151205e-03,2.04999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.68576643e-01,-1.49184128e-03,-5.19989170e-02,5.66912116e-03,2.04999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-5.81687205e-02,6.08937116e-03,2.09999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.71222001e-01,-1.34370790e-03,-5.86730242e-02,5.75284334e-03,2.09999990e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-6.48512915e-02,6.16608839e-03,2.15000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.73583537e-01,-1.19115622e-03,-6.53024763e-02,5.82789117e-03,2.15000010e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-7.14597628e-02,6.23145327e-03,2.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.75653607e-01,-1.03586435e-03,-7.18565062e-02,5.89406537e-03,2.20000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-7.79640228e-02,6.28537964e-03,2.25000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.77427620e-01,-8.79454834e-04,-7.83055648e-02,5.95124951e-03,2.25000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-8.43355656e-02,6.32789824e-03,2.29999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.78903952e-01,-7.23462203e-04,-8.46216530e-02,6.00456400e-03,2.29999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-9.05477777e-02,6.35914877e-03,2.34999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.80083781e-01,-5.69305557e-04,-9.07786861e-02,6.04973827e-03,2.34999990e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-9.65762213e-02,6.37937011e-03,2.40000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.80970907e-01,-4.18268930e-04,-9.67526734e-02,6.08584611e-03,2.40000010e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.02398790e-01,6.38888683e-03,2.45000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.81571409e-01,-2.71487865e-04,-1.02521919e-01,6.11302163e-03,2.45000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.07995838e-01,6.38809847e-03,2.50000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.81893453e-01,-1.29942200e-04,-1.08067140e-01,6.13252912e-03,2.50000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.13350257e-01,6.37746695e-03,2.54999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.81946978e-01,5.54571579e-06,-1.13371558e-01,6.14690082e-03,2.54999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.18447483e-01,6.35750405e-03,2.59999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.81743369e-01,1.34308226e-04,-1.18420854e-01,6.15363801e-03,2.59999990e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.23275496e-01,6.32876018e-03,2.65000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.81295276e-01,2.55826075e-04,-1.23203225e-01,6.15596911e-03,2.65000010e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.27824724e-01,6.29181415e-03,2.70000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.80616230e-01,3.69719724e-04,-1.27709255e-01,6.15033181e-03,2.70000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.32087976e-01,6.24726247e-03,2.75000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.79720476e-01,4.75738751e-04,-1.31931886e-01,6.13710191e-03,2.75000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.36060372e-01,6.19570911e-03,2.79999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.78622693e-01,5.73750702e-04,-1.35866299e-01,6.11668127e-03,2.79999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.39739141e-01,6.13776129e-03,2.84999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.77337766e-01,6.63729443e-04,-1.39509782e-01,6.08948991e-03,2.84999990e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.43123597e-01,6.07401785e-03,2.90000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.75880641e-01,7.45743688e-04,-1.42861620e-01,6.05738675e-03,2.90000010e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.46214932e-01,6.00506691e-03,2.95000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.74266100e-01,8.19946115e-04,-1.45922989e-01,6.02095993e-03,2.95000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.49016097e-01,5.93147753e-03,3.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.72508627e-01,8.86562804e-04,-1.48696780e-01,5.97884972e-03,3.00000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.51531681e-01,5.85379777e-03,3.04999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.70622289e-01,9.45883570e-04,-1.51187494e-01,5.93149010e-03,3.04999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.53767794e-01,5.77254826e-03,3.09999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.68620571e-01,9.98252537e-04,-1.53401136e-01,5.87930903e-03,3.09999990e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.55731902e-01,5.68822119e-03,3.15000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.66516304e-01,1.04405941e-03,-1.55345052e-01,5.82272001e-03,3.15000010e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.57432720e-01,5.60127664e-03,3.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.64321557e-01,1.08373072e-03,-1.57027826e-01,5.76212071e-03,3.20000005e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.58880129e-01,5.51214116e-03,3.25000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.62047610e-01,1.11772225e-03,-1.58459172e-01,5.69788786e-03,3.25000000e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.60085022e-01,5.42120496e-03,3.29999995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.59704864e-01,1.14651001e-03,-1.59649834e-01,5.63037628e-03,3.29999995e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.61059201e-01,5.32882335e-03,3.34999990e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.57302812e-01,1.17058249e-03,-1.60611406e-01,5.55991381e-03,3.34999990e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.61815241e-01,5.23531530e-03,3.40000010e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.54850021e-01,1.19043258e-03,-1.61356360e-01,5.48680313e-03,3.40000010e+00,5.00000007e-02,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,-1.62366480e-01,5.14096348e-03,3.45000005e+00,0.00000000e+00,0.00000000e+00
