"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.22995776e-01,2.13637715e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.40555990e-01,3.25936388e-04,4.99999989e-03,0.00000000e+00,0.00000000e+00
3.00000000e+00,3.63622829e-02,0.00000000e+00,4.18622524e-01,1.47364370e-03,0.00000000e+00,4.99999989e-03,0.00000000e+00
1.00000000e+00,4.19659466e-02,-5.20119630e-03,4.41917419e-01,7.59677321e-04,4.99999989e-03,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.46659893e-01,4.15189861e-04,9.99999978e-03,0.00000000e+00,0.00000000e+00
1.00000000e+00,4.97092120e-02,-3.65001126e-03,4.50279206e-01,7.38099159e-04,9.99999978e-03,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.48466659e-01,5.64308546e-04,1.49999997e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.40736690e-02,-2.93313502e-03,4.45760608e-01,7.34257803e-04,1.49999997e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.47475046e-01,6.49671827e-04,1.99999996e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,5.82404062e-02,-2.43329164e-03,4.44974065e-01,7.33020599e-04,1.99999996e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.48837578e-01,7.02524325e-04,2.50000004e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.26775548e-02,-2.12150789e-03,4.49036628e-01,7.69698701e-04,2.50000004e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.48358625e-01,7.27387087e-04,2.99999993e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.62221014e-02,-1.53561577e-03,4.48991716e-01,7.78309593e-04,2.99999993e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.47531760e-01,7.78462098e-04,3.50000001e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,6.90989792e-02,-1.64668844e-03,4.45979536e-01,8.12176673e-04,3.50000001e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.46926355e-01,8.20684189e-04,3.99999991e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.23192617e-02,-1.73762301e-03,4.45598751e-01,8.46410170e-04,3.99999991e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.45714474e-01,8.57932668e-04,4.50000018e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.55983144e-02,-1.55897974e-03,4.46245283e-01,8.77938815e-04,4.50000018e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.45161760e-01,8.87769856e-04,5.00000007e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,7.86965787e-02,-1.63923204e-03,4.44427967e-01,9.03710607e-04,5.00000007e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.43774641e-01,9.37459292e-04,5.49999997e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,8.22786763e-02,-2.09795078e-03,4.42398310e-01,9.54066752e-04,5.49999997e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.42210495e-01,9.92487534e-04,5.99999987e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,8.64916816e-02,-2.31469236e-03,4.41629887e-01,9.99406562e-04,5.99999987e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.40273583e-01,1.04946294e-03,6.49999976e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,9.08837914e-02,-2.34756921e-03,4.39889848e-01,1.04012841e-03,6.49999976e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.37690735e-01,1.10874150e-03,7.00000003e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,9.53364819e-02,-2.37648049e-03,4.36562032e-01,1.08314329e-03,7.00000003e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.34022158e-01,1.16665731e-03,7.50000030e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,9.99310538e-02,-2.44029984e-03,4.33122128e-01,1.12889952e-03,7.50000030e-02,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.30424064e-01,1.22701202e-03,7.99999982e-02,0.00000000e+00,0.00000000e+00
