geometry,ux,uy,p,knudsen,x,y
2,0.0711663887,-0.0152818523,0.0674520284,0.00472667115,21,0
2,0,0,0.288896948,0.00907182414,21.1000004,0
1,0.15914993,-0.0110848732,0.152851343,0.00436184602,21,0.100000001
1,0.153788701,0.0214747414,0.189800173,0.0075801122,21.1000004,0.100000001
2,0,0,0.0975460857,0.00714418525,21.2000008,0
1,0.135523722,0.00688041747,0.0838564411,0.00564499991,21.2000008,0.100000001
2,0,0,0.119685493,0.00332184578,21.2999992,0
1,0.133850262,-0.00450307317,0.130859658,0.00329627399,21.2999992,0.100000001
2,0,0,0.157512859,0.00826124754,21.3999996,0
1,0.149485692,-0.0034876545,0.162787899,0.00905244052,21.3999996,0.100000001
2,0,0,0.141626418,0.000652683491,21.5,0
1,0.159085274,-0.0177835543,0.138534069,0.00160362071,21.5,0.100000001
2,0,0,0.0789687559,0.0130744278,21.6000004,0
1,0.166165143,0.0148803294,0.101391986,0.011477774,21.6000004,0.100000001
2,0,0,0.191134214,0.00280878227,21.7000008,0
1,0.179716393,-0.0371810719,0.113241211,0.00365742645,21.7000008,0.100000001
2,0,0,0.0618002899,0.015290847,21.7999992,0
1,0.221411437,0.0295424815,0.145788103,0.017762769,21.7999992,0.100000001
2,0,0,0.101977095,0.00592208374,21.8999996,0
1,0.144272402,-0.0338591225,0.0980393216,0.0121722389,21.8999996,0.100000001
2,0,0,0.0576846786,0.0227414332,22,0
4,0.439429194,0,0,0.0683519095,22,0.100000001
1,0.249018803,-0.00759227807,0.213767305,0.00599785894,21,0.200000003
1,0.246119961,-0.0008172901,0.0874106213,0.00370546384,21.1000004,0.200000003
1,0.255782396,0.0333084352,0.173217461,0.00432034954,21.2000008,0.200000003
1,0.271556109,-0.0268893726,0.165117308,0.00263766921,21.2999992,0.200000003
1,0.265310705,0.00161199877,0.099771224,0.00626629358,21.3999996,0.200000003
1,0.280594558,-0.0351038389,0.127162188,0.00128674693,21.5,0.200000003
