"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,6.22053817e-02,-4.49025556e-02,-3.34659189e-01,3.73339583e-03,2.17000008e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.29488790e-01,1.07565196e-02,2.17499995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.13046646e-01,-4.42769974e-02,-1.49777964e-01,3.52378679e-03,2.17000008e+00,4.99999989e-03,0.00000000e+00
1.00000000e+00,1.06495306e-01,-6.44054590e-03,1.04684435e-01,8.58207233e-03,2.17499995e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.73944528e-02,5.66037418e-03,2.18000007e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.18549913e-01,4.27290937e-03,5.72220981e-02,3.95598169e-03,2.18000007e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.73769344e-02,5.85945928e-03,2.18499994e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.21846989e-01,-3.12239234e-03,5.71079440e-02,5.13677159e-03,2.18499994e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.24607855e-02,7.38559151e-03,2.19000006e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.28264338e-01,-4.42444719e-03,5.23794182e-02,6.69616414e-03,2.19000006e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.31541300e-02,5.66514302e-03,2.19499993e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.32998183e-01,1.40608835e-03,4.82097194e-02,5.33525227e-03,2.19499993e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.48922461e-02,6.76749600e-03,2.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.32613525e-01,-1.70728471e-03,3.18584032e-02,6.23050891e-03,2.20000005e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.15311514e-02,6.46957662e-03,2.20499992e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.34023502e-01,2.85949336e-05,2.29441151e-02,5.92925353e-03,2.20499992e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.28593072e-02,6.52611163e-03,2.21000004e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.34302214e-01,1.25310477e-03,2.26519480e-02,6.38036337e-03,2.21000004e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.77287217e-02,5.95881976e-03,2.21499991e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.34890482e-01,-1.74777023e-03,1.37402629e-02,5.95808681e-03,2.21499991e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,9.67593025e-03,7.17882160e-03,2.22000003e+00,0.00000000e+00,0.00000000e+00
4.00000000e+00,1.38254851e-01,0.00000000e+00,0.00000000e+00,2.24080831e-02,2.22000003e+00,4.99999989e-03,0.00000000e+00
