time,drag,lift,deltap
0,0,0,0
0.00125,6.7646e-07,-6.8587e-09,4.29405e-07
0.0025,8.2646e-06,-2.67161e-08,5.04593e-06
0.00375001,2.56738e-05,-5.96458e-08,1.54493e-05
0.00500001,5.29171e-05,-1.15016e-07,3.15068e-05
0.00625001,9.02223e-05,-1.76457e-07,5.32536e-05
0.00750001,0.000137913,-2.59462e-07,8.07972e-05
0.00875002,0.000196248,-3.54825e-07,0.000114213
0.01,0.000265447,-4.62653e-07,0.000153559
0.01125,0.000345708,-5.87742e-07,0.000198887
0.0125,0.000437211,-7.21075e-07,0.000250243
0.01375,0.000540127,-8.75655e-07,0.000307669
0.015,0.000654613,-1.04385e-06,0.000371203
0.01625,0.000782707,-1.2215e-06,0.000442042
0.0175,0.000929442,-1.41975e-06,0.000523087
0.01875,0.00109026,-1.61984e-06,0.000611409
0.02,0.00126282,-1.84354e-06,0.000705589
0.02125,0.00144784,-2.07104e-06,0.00080606
0.0225,0.0016456,-2.3085e-06,0.000912946
0.02375,0.00185605,-2.56307e-06,0.00102619
0.025,0.00207924,-2.82145e-06,0.00114578
0.0262501,0.00231524,-3.09766e-06,0.00127174
0.0275001,0.00256412,-3.38367e-06,0.00140406
0.0287501,0.00282594,-3.67514e-06,0.00154276
0.0300001,0.00310067,-3.98551e-06,0.00168777
0.0312501,0.00338791,-4.29609e-06,0.00183884
0.0325001,0.00368596,-4.62458e-06,0.00199489
0.0337501,0.00399099,-4.95949e-06,0.00215368
0.0350001,0.00430749,-5.30445e-06,0.00231798
0.0362501,0.00463783,-5.66265e-06,0.00248916
0.0375001,0.00498118,-6.02834e-06,0.00266665
0.0387501,0.00533736,-6.40809e-06,0.0028503
0.0400001,0.0057066,-6.7981e-06,0.00304022
0.0412501,0.00608899,-7.19319e-06,0.00323644
0.0425001,0.00648456,-7.60331e-06,0.00343894
0.0437501,0.00689335,-8.01525e-06,0.00364772
0.0450001,0.00731546,-8.44211e-06,0.00386281
0.0462501,0.00775107,-8.87561e-06,0.0040843
0.0475001,0.00820101,-9.31481e-06,0.00431265
0.0487501,0.00866691,-9.76547e-06,0.00454882
0.0500001,0.00915173,-1.02204e-05,0.00479449
0.0512501,0.0096513,-1.06817e-05,0.00504704
0.0525001,0.0101635,-1.11512e-05,0.00530522
0.0537501,0.0106895,-1.16184e-05,0.00556972
0.0550001,0.0112295,-1.20976e-05,0.00584067
0.0562501,0.0117833,-1.25762e-05,0.00611791
0.0575001,0.0123508,-1.30628e-05,0.0064014
0.0587501,0.012932,-1.35516e-05,0.00669112
0.0600001,0.0135269,-1.40431e-05,0.00698708
0.0612501,0.0141355,-1.45408e-05,0.00728917
0.0625001,0.0147573,-1.50409e-05,0.00759722
0.0637501,0.0153915,-1.55418e-05,0.00791064
0.0650001,0.0160366,-1.60457e-05,0.00822852
0.0662501,0.0166905,-1.65475e-05,0.00854969
0.0675001,0.017357,-1.70602e-05,0.00887655
0.0687501,0.0180381,-1.75705e-05,0.00921015
0.0700001,0.0187325,-1.80869e-05,0.00954971
0.0712501,0.0194399,-1.86037e-05,0.00989505
0.0725001,0.0201607,-1.91195e-05,0.0102463
0.0737501,0.0208948,-1.96368e-05,0.0106036
0.0750001,0.0216423,-2.01548e-05,0.0109668
0.0762502,0.0224031,-2.06695e-05,0.0113359
0.0775002,0.0231774,-2.1188e-05,0.011711
0.0787502,0.0239657,-2.16989e-05,0.0120924
0.0800002,0.0247689,-2.22133e-05,0.0124805
0.0812502,0.0255883,-2.27238e-05,0.0128763
0.0825002,0.0264253,-2.32305e-05,0.0132803
0.0837502,0.0272762,-2.373e-05,0.0136904
0.0850002,0.0281394,-2.42226e-05,0.0141056
0.0862502,0.0290162,-2.47094e-05,0.0145267
0.0875002,0.0299069,-2.51924e-05,0.0149539
0.0887502,0.0308109,-2.56634e-05,0.0153868
0.0900002,0.0317283,-2.6132e-05,0.0158255
0.0912502,0.0326591,-2.65842e-05,0.0162699
0.0925002,0.0336031,-2.7034e-05,0.0167201
0.0937502,0.0345602,-2.74681e-05,0.0171758
0.0950002,0.0355296,-2.7892e-05,0.0176366
0.0962502,0.0365104,-2.83053e-05,0.0181021
0.0975002,0.0375014,-2.87042e-05,0.0185715
0.0987502,0.0385018,-2.90917e-05,0.0190443
0.1,0.039515,-2.94672e-05,0.0195227
0.10125,0.0405421,-2.98251e-05,0.0200074
0.1025,0.0415819,-3.0172e-05,0.0204974
0.10375,0.042634,-3.04978e-05,0.0209927
0.105,0.0436988,-3.08097e-05,0.0214934
0.10625,0.0447764,-3.10995e-05,0.0219997
0.1075,0.0458666,-3.13723e-05,0.0225114
0.10875,0.0469696,-3.16213e-05,0.0230285
0.11,0.0480857,-3.1851e-05,0.0235513
0.11125,0.0492153,-3.20547e-05,0.0240802
0.1125,0.0503596,-3.22358e-05,0.0246156
0.11375,0.0515193,-3.23865e-05,0.025158
0.115,0.0526947,-3.25109e-05,0.0257077
0.11625,0.0538828,-3.26016e-05,0.0262627
0.1175,0.0550824,-3.26623e-05,0.0268224
0.11875,0.056295,-3.26881e-05,0.0273876
0.12,0.0575207,-3.26781e-05,0.0279586
0.12125,0.0587591,-3.26304e-05,0.028535
0.1225,0.06001,-3.25463e-05,0.0291167
0.12375,0.0612734,-3.24173e-05,0.0297039
0.125,0.0625493,-3.22512e-05,0.0302964
0.12625,0.0638372,-3.2034e-05,0.030894
0.1275,0.0651364,-3.17748e-05,0.0314963
0.12875,0.0664459,-3.14642e-05,0.0321028
0.13,0.0677652,-3.11038e-05,0.0327131
0.13125,0.0690943,-3.0692e-05,0.0333274
0.1325,0.0704359,-3.02248e-05,0.0339474
0.13375,0.0717908,-2.9702e-05,0.0345735
0.135,0.0731576,-2.91201e-05,0.0352048
0.13625,0.0745362,-2.84743e-05,0.0358413
0.1375,0.075927,-2.77674e-05,0.0364833
0.13875,0.0773302,-2.69876e-05,0.0371309
0.14,0.0787457,-2.61433e-05,0.0377841
0.14125,0.0801736,-2.52207e-05,0.038443
0.1425,0.0816145,-2.42252e-05,0.0391079
0.14375,0.0830692,-2.31494e-05,0.0397794
0.145,0.0845383,-2.19911e-05,0.0404579
0.14625,0.0860224,-2.07464e-05,0.0411436
0.1475,0.0875211,-1.94107e-05,0.0418363
0.14875,0.0890321,-1.79793e-05,0.0425347
0.15,0.0905548,-1.64529e-05,0.0432385
0.15125,0.0920906,-1.48235e-05,0.0439486
0.1525,0.0936397,-1.30919e-05,0.0446651
0.15375,0.0952016,-1.12506e-05,0.0453878
0.155,0.0967764,-9.29789e-06,0.0461168
0.15625,0.098364,-7.22717e-06,0.0468521
0.1575,0.0999643,-5.03737e-06,0.0475936
0.15875,0.101577,-2.7214e-06,0.0483413
0.16,0.103201,-2.79845e-07,0.0490948
0.16125,0.104837,2.29738e-06,0.0498537
0.1625,0.106483,5.00837e-06,0.0506182
0.16375,0.108142,7.86176e-06,0.0513888
0.165,0.109814,1.08582e-05,0.0521667
0.16625,0.1115,1.40048e-05,0.0529525
0.1675,0.1132,1.7307e-05,0.0537453
0.16875,0.114913,2.07673e-05,0.0545453
0.17,0.11664,2.43919e-05,0.055353
0.17125,0.118381,2.81854e-05,0.0561686
0.1725,0.120137,3.21504e-05,0.0569922
0.17375,0.121907,3.6297e-05,0.0578243
0.175,0.123693,4.06235e-05,0.0586651
0.17625,0.125495,4.51423e-05,0.0595155
0.1775,0.127315,4.98524e-05,0.0603758
0.17875,0.129152,5.47628e-05,0.0612462
0.18,0.131005,5.98774e-05,0.0621265
0.18125,0.132874,6.52018e-05,0.0630158
0.1825,0.134759,7.07413e-05,0.0639142
0.18375,0.136659,7.64994e-05,0.0648228
0.185,0.138577,8.24816e-05,0.0657418
0.18625,0.140512,8.86933e-05,0.0666711
0.1875,0.142464,9.51381e-05,0.0676109
0.18875,0.144433,0.000101822,0.0685615
0.19,0.146419,0.000108748,0.0695231
0.19125,0.148422,0.000115921,0.0704955
0.1925,0.150441,0.000123345,0.0714787
0.19375,0.152477,0.000131024,0.0724728
0.195,0.154531,0.000138962,0.0734782
0.19625,0.156602,0.000147162,0.0744958
0.1975,0.158693,0.000155626,0.0755269
0.19875,0.160805,0.00016436,0.0765717
0.2,0.162937,0.000173365,0.07763
0.20125,0.165089,0.000182644,0.0787021
0.2025,0.167262,0.000192202,0.0797887
0.20375,0.169457,0.000202038,0.0808904
0.205,0.171674,0.000212156,0.0820074
0.20625,0.173914,0.000222556,0.0831405
0.2075,0.176178,0.000233239,0.0842902
0.20875,0.178467,0.000244208,0.0854575
0.21,0.180782,0.00025546,0.0866428
0.21125,0.183122,0.000267001,0.0878464
0.2125,0.185489,0.000278824,0.0890682
0.21375,0.18788,0.000290933,0.0903078
0.215,0.190296,0.000303323,0.0915658
0.21625,0.19274,0.000315992,0.0928434
0.2175,0.195211,0.000328939,0.0941409
0.21875,0.197709,0.000342157,0.0954585
0.22,0.200235,0.000355646,0.0967965
0.22125,0.20279,0.000369399,0.0981554
0.2225,0.205373,0.00038341,0.0995356
0.22375,0.207985,0.000397674,0.100937
0.225,0.210625,0.000412184,0.10236
0.22625,0.213294,0.000426931,0.103805
0.2275,0.215994,0.000441906,0.105273
0.22875,0.218725,0.000457101,0.106765
0.23,0.221489,0.000472505,0.108281
0.23125,0.224287,0.00048811,0.109823
0.2325,0.227118,0.000503902,0.11139
0.23375,0.229983,0.00051987,0.112982
0.235,0.232883,0.000536002,0.114601
0.23625,0.235819,0.000552282,0.116247
0.2375,0.238791,0.000568698,0.117921
0.23875,0.241801,0.000585233,0.119623
0.24,0.244849,0.000601873,0.121354
0.24125,0.247937,0.0006186,0.123115
0.2425,0.251065,0.000635398,0.124906
0.24375,0.254234,0.00065225,0.126727
0.245,0.257442,0.000669135,0.128579
0.24625,0.26069,0.000686036,0.130461
0.2475,0.263979,0.00070293,0.132373
0.24875,0.26731,0.000719799,0.134317
0.25,0.270682,0.00073662,0.136293
0.251251,0.274097,0.00075337,0.138301
0.252501,0.277555,0.000770029,0.140341
0.253751,0.281055,0.00078657,0.142413
0.255001,0.284598,0.000802974,0.144518
0.256251,0.288184,0.000819212,0.146656
0.257501,0.291813,0.000835261,0.148826
0.258751,0.295486,0.000851096,0.15103
0.260001,0.299203,0.000866689,0.153267
0.261251,0.302965,0.000882015,0.155539
0.262501,0.306773,0.000897047,0.157845
0.263751,0.310629,0.000911757,0.160187
0.265001,0.314529,0.000926119,0.162564
0.266251,0.318477,0.000940104,0.164975
0.267501,0.322472,0.000953684,0.167423
0.268751,0.326514,0.000966828,0.169907
0.270001,0.330604,0.000979508,0.172427
0.271251,0.334743,0.000991693,0.174983
0.272501,0.33893,0.00100335,0.177577
0.273751,0.343168,0.00101446,0.180208
0.275001,0.347454,0.00102497,0.182877
0.276251,0.35179,0.00103486,0.185583
0.277501,0.356174,0.0010441,0.188326
0.278751,0.360605,0.00105265,0.191106
0.280001,0.365086,0.00106047,0.193923
0.281251,0.369615,0.00106752,0.196778
0.282501,0.374192,0.00107378,0.199671
0.283751,0.378818,0.0010792,0.202601
0.285001,0.383492,0.00108373,0.205569
0.286251,0.388214,0.00108734,0.208575
0.287501,0.392983,0.00108999,0.211618
0.288751,0.397799,0.00109164,0.214699
0.290001,0.402662,0.00109223,0.217818
0.291251,0.407571,0.00109171,0.220974
0.292501,0.412529,0.00109006,0.224169
0.293751,0.417534,0.00108721,0.227403
0.295001,0.422587,0.00108311,0.230676
0.296251,0.427689,0.00107772,0.233989
0.297501,0.432837,0.00107099,0.23734
0.298751,0.438033,0.00106286,0.240731
0.300001,0.443277,0.00105329,0.244161
0.301251,0.448569,0.00104222,0.247632
0.302501,0.453909,0.0010296,0.251143
0.303751,0.459298,0.00101537,0.254694
0.305001,0.464736,0.000999492,0.258287
0.306251,0.470222,0.000981908,0.261921
0.307501,0.475757,0.000962572,0.265596
0.308751,0.481339,0.000941431,0.269312
0.310001,0.486969,0.00091844,0.273068
0.311251,0.492646,0.000893553,0.276866
0.312501,0.498371,0.000866727,0.280704
0.313751,0.504144,0.00083792,0.284585
0.315001,0.509964,0.000807093,0.288506
0.316251,0.515831,0.000774213,0.292469
0.317501,0.521745,0.000739245,0.296474
0.318751,0.527706,0.000702162,0.30052
0.320001,0.533713,0.000662941,0.304608
0.321251,0.539767,0.000621559,0.308737
0.322501,0.545866,0.000578004,0.312907
0.323751,0.552012,0.00053226,0.317119
0.325001,0.558205,0.000484326,0.321374
0.326251,0.564446,0.000434198,0.325671
0.327501,0.570734,0.000381885,0.330011
0.328751,0.577069,0.000327396,0.334393
0.330001,0.583451,0.000270748,0.338819
0.331251,0.58988,0.000211964,0.343287
0.332501,0.596357,0.000151073,0.347798
0.333751,0.602881,8.8111e-05,0.352353
0.335001,0.609453,2.31189e-05,0.356951
0.336251,0.616072,-4.38548e-05,0.361593
0.337501,0.622741,-0.000112755,0.366279
0.338751,0.629457,-0.000183521,0.371009
0.340001,0.63622,-0.000256084,0.375783
0.341251,0.643031,-0.000330371,0.3806
0.342501,0.649888,-0.0004063,0.385461
0.343751,0.656792,-0.000483786,0.390364
0.345001,0.663741,-0.000562736,0.395312
0.346251,0.670738,-0.000643051,0.400303
0.347501,0.677781,-0.000724625,0.405337
0.348751,0.684869,-0.000807348,0.410415
0.350001,0.692003,-0.000891103,0.415535
0.351251,0.699181,-0.000975769,0.420699
0.352501,0.706404,-0.00106122,0.425905
0.353751,0.713671,-0.00114732,0.431154
0.355001,0.720981,-0.00123394,0.436445
0.356251,0.728336,-0.00132094,0.441779
0.357501,0.735736,-0.00140817,0.447156
0.358751,0.74318,-0.00149549,0.452576
0.360001,0.750668,-0.00158274,0.458039
0.361251,0.7582,-0.00166979,0.463544
0.362501,0.765775,-0.00175646,0.469092
0.363751,0.773393,-0.00184262,0.474682
0.365001,0.781055,-0.0019281,0.480315
0.366251,0.788761,-0.00201275,0.485991
0.367501,0.79651,-0.00209642,0.491709
0.368751,0.804302,-0.00217895,0.49747
0.370001,0.812138,-0.0022602,0.503273
0.371251,0.820016,-0.00234003,0.509118
0.372501,0.827937,-0.00241828,0.515006
0.373751,0.835898,-0.00249482,0.520934
0.375001,0.843901,-0.00256953,0.526904
0.376251,0.851944,-0.00264228,0.532915
0.377501,0.860028,-0.00271295,0.538967
0.378751,0.868152,-0.00278144,0.54506
0.380001,0.876315,-0.00284764,0.551193
0.381251,0.884518,-0.00291146,0.557366
0.382501,0.892759,-0.00297284,0.563578
0.383751,0.901038,-0.00303169,0.56983
0.385001,0.909354,-0.00308797,0.576121
0.386251,0.917707,-0.00314164,0.582451
0.387501,0.926097,-0.00319267,0.588819
0.388751,0.934523,-0.00324105,0.595226
0.390001,0.942986,-0.00328677,0.601671
0.391251,0.951486,-0.00332987,0.608155
0.392501,0.960022,-0.00337037,0.614676
0.393751,0.968594,-0.00340832,0.621236
0.395001,0.9772,-0.00344379,0.627832
0.396251,0.985841,-0.00347686,0.634466
0.397501,0.994518,-0.00350764,0.641137
0.398751,1.00323,-0.00353624,0.647846
0.400001,1.01197,-0.0035628,0.654591
0.401251,1.02075,-0.00358746,0.661372
0.402501,1.02957,-0.00361039,0.66819
0.403751,1.03842,-0.00363178,0.675044
0.405001,1.04729,-0.00365181,0.681933
0.406251,1.05621,-0.0036707,0.688857
0.407501,1.06515,-0.00368868,0.695815
0.408751,1.07412,-0.00370596,0.702807
0.410001,1.08312,-0.0037228,0.709834
0.411251,1.09216,-0.00373946,0.716894
0.412501,1.10122,-0.00375618,0.723987
0.413751,1.11031,-0.00377324,0.731112
0.415001,1.11943,-0.00379091,0.738269
0.416251,1.12858,-0.00380945,0.745458
0.417501,1.13775,-0.00382914,0.752678
0.418751,1.14695,-0.00385025,0.759928
0.420001,1.15617,-0.00387304,0.767209
0.421251,1.16542,-0.00389778,0.774521
0.422501,1.1747,-0.0039247,0.781862
0.423751,1.184,-0.00395406,0.789233
0.425001,1.19333,-0.00398606,0.796634
0.426251,1.20268,-0.00402092,0.804063
0.427501,1.21205,-0.00405883,0.811521
0.428751,1.22145,-0.00409996,0.819006
0.430001,1.23087,-0.00414445,0.82652
0.431251,1.24031,-0.00419242,0.834062
0.432501,1.24978,-0.00424397,0.84163
0.433751,1.25927,-0.00429915,0.849226
0.435001,1.26877,-0.00435802,0.856848
0.436251,1.2783,-0.00442056,0.864496
0.437501,1.28785,-0.00448675,0.872169
0.438751,1.29742,-0.00455652,0.879867
0.440001,1.30701,-0.00462978,0.887589
0.441251,1.31661,-0.00470639,0.895334
0.442501,1.32624,-0.00478619,0.903103
0.443751,1.33588,-0.00486897,0.910895
0.445001,1.34553,-0.00495451,0.91871
0.446251,1.3552,-0.00504254,0.926545
0.447501,1.36489,-0.00513275,0.934402
0.448751,1.37459,-0.00522483,0.942279
0.450001,1.3843,-0.00531843,0.950176
0.451251,1.39403,-0.00541317,0.958092
0.452501,1.40377,-0.00550866,0.966028
0.453751,1.41352,-0.00560449,0.973982
0.455001,1.42328,-0.00570023,0.981955
0.456251,1.43306,-0.00579545,0.989946
0.457501,1.44284,-0.00588972,0.997954
0.458751,1.45264,-0.0059826,1.00598
0.460001,1.46244,-0.00607365,1.01402
0.461251,1.47226,-0.00616246,1.02208
0.462501,1.48208,-0.00624862,1.03015
0.463751,1.49191,-0.00633174,1.03824
0.465001,1.50175,-0.00641147,1.04634
0.466251,1.5116,-0.00648747,1.05446
0.467501,1.52145,-0.00655946,1.06259
0.468751,1.53131,-0.00662717,1.07074
0.470001,1.54118,-0.00669041,1.0789
0.471251,1.55105,-0.00674901,1.08706
0.472501,1.56092,-0.00680286,1.09524
0.473751,1.5708,-0.00685193,1.10343
0.475001,1.58068,-0.0068962,1.11163
0.476251,1.59056,-0.00693577,1.11985
0.477501,1.60044,-0.00697074,1.12806
0.478751,1.61032,-0.00700133,1.13629
0.480001,1.6202,-0.00702777,1.14453
0.481251,1.63008,-0.00705039,1.15277
0.482501,1.63996,-0.00706956,1.16102
0.483751,1.64984,-0.0070857,1.16927
0.485001,1.65971,-0.00709931,1.17753
0.486251,1.66959,-0.0071109,1.18579
0.487501,1.67945,-0.00712104,1.19406
0.488751,1.68932,-0.00713035,1.20233
0.490001,1.69917,-0.00713944,1.21061
0.491251,1.70903,-0.00714898,1.21889
0.492501,1.71888,-0.00715961,1.22717
0.493751,1.72872,-0.00717201,1.23545
0.495001,1.73855,-0.00718683,1.24374
0.496251,1.74838,-0.00720472,1.25202
0.497501,1.7582,-0.00722627,1.26031
0.498751,1.76801,-0.00725206,1.26859
0.500001,1.77781,-0.00728262,1.27688
0.501251,1.7876,-0.00731841,1.28516
0.502501,1.79738,-0.00735984,1.29344
0.503751,1.80715,-0.00740722,1.30172
0.505001,1.81691,-0.00746081,1.30999
0.506251,1.82665,-0.00752075,1.31827
0.507501,1.83639,-0.0075871,1.32653
0.508751,1.8461,-0.0076598,1.33479
0.510001,1.85581,-0.00773873,1.34305
0.511251,1.86549,-0.00782361,1.35129
0.512501,1.87516,-0.0079141,1.35953
0.513751,1.88481,-0.00800973,1.36776
0.515001,1.89445,-0.00810994,1.37599
0.516251,1.90407,-0.00821408,1.3842
0.517501,1.91366,-0.0083214,1.39241
0.518751,1.92324,-0.00843108,1.4006
0.520001,1.9328,-0.00854224,1.40878
0.521251,1.94234,-0.00865394,1.41696
0.522501,1.95186,-0.00876518,1.42512
0.523751,1.96135,-0.00887498,1.43327
0.525001,1.97083,-0.0089823,1.4414
0.526251,1.98028,-0.00908614,1.44952
0.527501,1.98971,-0.00918552,1.45763
0.528751,1.99912,-0.00927951,1.46573
0.530001,2.0085,-0.00936722,1.47381
0.531251,2.01786,-0.00944787,1.48187
0.532501,2.02719,-0.00952076,1.48992
0.533751,2.0365,-0.00958531,1.49795
0.535001,2.04578,-0.00964109,1.50596
0.536251,2.05503,-0.00968777,1.51396
0.537501,2.06425,-0.00972522,1.52193
0.538751,2.07345,-0.00975345,1.52989
0.540001,2.08261,-0.00977264,1.53783
0.541251,2.09175,-0.00978316,1.54574
0.542501,2.10086,-0.00978552,1.55364
0.543751,2.10993,-0.00978045,1.56151
0.545001,2.11897,-0.00976879,1.56936
0.546251,2.12798,-0.00975156,1.57719
0.547501,2.13695,-0.00972994,1.585
0.548751,2.1459,-0.00970518,1.59278
0.550001,2.1548,-0.00967868,1.60053
0.551251,2.16368,-0.0096519,1.60826
0.552501,2.17251,-0.00962633,1.61597
0.553751,2.18132,-0.00960353,1.62365
0.555001,2.19008,-0.00958502,1.6313
0.556251,2.19881,-0.0095723,1.63893
0.557501,2.2075,-0.00956677,1.64652
0.558751,2.21616,-0.00956978,1.65409
0.560001,2.22478,-0.00958249,1.66164
0.561251,2.23335,-0.00960595,1.66915
0.562501,2.24189,-0.00964097,1.67663
0.563751,2.25039,-0.00968818,1.68409
0.565001,2.25885,-0.00974795,1.69151
0.566251,2.26727,-0.0098204,1.6989
0.567501,2.27565,-0.00990537,1.70626
0.568751,2.28399,-0.0100024,1.71359
0.570001,2.29228,-0.0101109,1.72088
0.571251,2.30053,-0.0102297,1.72814
0.572501,2.30874,-0.0103577,1.73537
0.573751,2.3169,-0.0104933,1.74256
0.575001,2.32502,-0.0106348,1.74972
0.576251,2.33309,-0.0107802,1.75684
0.577501,2.34112,-0.0109274,1.76393
0.578751,2.3491,-0.0110742,1.77098
0.580001,2.35703,-0.0112183,1.77799
0.581251,2.36492,-0.0113573,1.78496
0.582501,2.37275,-0.0114888,1.7919
0.583751,2.38054,-0.0116107,1.7988
0.585001,2.38829,-0.0117208,1.80566
0.586251,2.39598,-0.011817,1.81248
0.587501,2.40362,-0.0118978,1.81926
0.588751,2.41122,-0.0119616,1.826
0.590001,2.41876,-0.0120073,1.83271
0.591251,2.42626,-0.0120343,1.83937
0.592501,2.4337,-0.0120421,1.84599
0.593751,2.4411,-0.0120308,1.85256
0.595001,2.44844,-0.0120011,1.8591
0.596251,2.45573,-0.0119539,1.8656
0.597501,2.46297,-0.0118906,1.87205
0.598751,2.47016,-0.0118131,1.87846
0.600001,2.47729,-0.0117237,1.88482
0.601251,2.48437,-0.0116251,1.89114
0.602501,2.49139,-0.0115203,1.89742
0.603751,2.49837,-0.0114124,1.90365
0.605001,2.50528,-0.011305,1.90984
0.606251,2.51215,-0.0112017,1.91598
0.607501,2.51895,-0.0111059,1.92207
0.608751,2.5257,-0.0110215,1.92812
0.610001,2.53239,-0.0109516,1.93412
0.611251,2.53903,-0.0108996,1.94008
0.612501,2.54561,-0.0108684,1.94599
0.613751,2.55213,-0.0108604,1.95185
0.615001,2.5586,-0.0108776,1.95766
0.616251,2.56501,-0.0109215,1.96342
0.617501,2.57136,-0.0109928,1.96913
0.618751,2.57765,-0.0110917,1.9748
0.620001,2.58388,-0.0112176,1.98042
0.621251,2.59006,-0.0113692,1.98599
0.622501,2.59617,-0.0115446,1.9915
0.623751,2.60223,-0.0117409,1.99697
0.625001,2.60823,-0.0119548,2.00239
0.626251,2.61417,-0.0121823,2.00776
0.627501,2.62005,-0.0124189,2.01308
0.628751,2.62588,-0.0126595,2.01835
0.630001,2.63164,-0.0128989,2.02356
0.631251,2.63734,-0.0131315,2.02873
0.632501,2.64298,-0.0133517,2.03384
0.633751,2.64856,-0.013554,2.03891
0.635001,2.65408,-0.013733,2.04392
0.636251,2.65954,-0.013884,2.04888
0.637501,2.66494,-0.0140023,2.05378
0.638751,2.67028,-0.0140844,2.05864
0.640001,2.67555,-0.0141272,2.06344
0.641251,2.68077,-0.0141287,2.06819
0.642501,2.68592,-0.0140879,2.07288
0.643751,2.69101,-0.0140047,2.07752
0.645001,2.69603,-0.0138806,2.08211
0.646251,2.701,-0.0137176,2.08665
0.647501,2.7059,-0.0135195,2.09113
0.648751,2.71074,-0.0132907,2.09556
0.650001,2.71552,-0.013037,2.09993
0.651251,2.72024,-0.0127649,2.10425
0.652501,2.72489,-0.0124817,2.10852
0.653751,2.72949,-0.0121956,2.11273
0.655001,2.73402,-0.0119149,2.11689
0.656251,2.73848,-0.0116483,2.12099
0.657501,2.74289,-0.0114045,2.12505
0.658751,2.74724,-0.0111918,2.12904
0.660001,2.75152,-0.0110183,2.13299
0.661251,2.75574,-0.0108912,2.13688
0.662501,2.7599,-0.0108165,2.14071
0.663751,2.764,-0.0107995,2.1445
0.665001,2.76803,-0.0108437,2.14822
0.666251,2.772,-0.0109511,2.1519
0.667501,2.77592,-0.0111223,2.15552
0.668751,2.77977,-0.0113556,2.15908
0.670001,2.78355,-0.011648,2.1626
0.671251,2.78728,-0.0119943,2.16605
0.672501,2.79094,-0.0123877,2.16946
0.673751,2.79455,-0.0128195,2.17281
0.675001,2.79809,-0.0132798,2.1761
0.676251,2.80157,-0.0137571,2.17934
0.677501,2.80499,-0.0142392,2.18253
0.678751,2.80835,-0.0147129,2.18567
0.680001,2.81165,-0.0151647,2.18875
0.681251,2.81488,-0.0155811,2.19178
0.682501,2.81806,-0.0159489,2.19475
0.683751,2.82118,-0.0162557,2.19768
0.685001,2.82424,-0.0164904,2.20055
0.686251,2.82724,-0.0166432,2.20337
0.687501,2.83018,-0.0167063,2.20613
0.688751,2.83306,-0.0166742,2.20885
0.690001,2.83589,-0.0165439,2.21151
0.691251,2.83866,-0.0163149,2.21412
0.692501,2.84136,-0.0159898,2.21668
0.693751,2.84401,-0.0155739,2.21919
0.695001,2.84661,-0.0150755,2.22164
0.696251,2.84914,-0.0145059,2.22405
0.697501,2.85162,-0.0138786,2.2264
0.698751,2.85404,-0.0132098,2.22871
0.700001,2.85641,-0.0125174,2.23096
0.701251,2.85872,-0.0118212,2.23316
0.702501,2.86097,-0.0111418,2.23532
0.703751,2.86317,-0.0105003,2.23742
0.705001,2.86531,-0.00991784,2.23948
0.706251,2.8674,-0.00941469,2.24149
0.707501,2.86943,-0.00900982,2.24344
0.708751,2.87141,-0.0087202,2.24535
0.710001,2.87334,-0.00856019,2.24722
0.711251,2.87521,-0.00854102,2.24903
0.712501,2.87703,-0.00867025,2.2508
0.713751,2.8788,-0.0089514,2.25252
0.715001,2.88052,-0.00938364,2.2542
0.716251,2.88219,-0.00996158,2.25583
0.717501,2.8838,-0.0106752,2.25741
0.718751,2.88537,-0.0115101,2.25895
0.720001,2.88689,-0.0124472,2.26045
0.721251,2.88836,-0.0134638,2.2619
0.722501,2.88979,-0.0145334,2.26331
0.723751,2.89117,-0.0156269,2.26468
0.725001,2.8925,-0.0167128,2.266
0.726251,2.89378,-0.0177583,2.26728
0.727501,2.89503,-0.0187303,2.26853
0.728751,2.89622,-0.0195962,2.26973
0.730001,2.89737,-0.0203251,2.27089
0.731251,2.89848,-0.0208884,2.27201
0.732501,2.89955,-0.0212613,2.27309
0.733751,2.90057,-0.0214234,2.27413
0.735001,2.90155,-0.0213597,2.27514
0.736251,2.90249,-0.0210611,2.2761
0.737501,2.90339,-0.0205252,2.27703
0.738751,2.90424,-0.0197567,2.27792
0.740001,2.90506,-0.0187674,2.27877
0.741251,2.90584,-0.0175765,2.27959
0.742501,2.90658,-0.01621,2.28037
0.743751,2.90728,-0.0147006,2.28111
0.745001,2.90794,-0.0130871,2.28182
0.746251,2.90857,-0.0114131,2.2825
0.747501,2.90916,-0.00972621,2.28315
0.748751,2.90972,-0.00807697,2.28376
0.750001,2.91024,-0.00651714,2.28434
0.751252,2.91073,-0.0050984,2.28489
