time,drag,lift,deltap
0,0,0,0
0.00125083,3.30259e-06,-9.50045e-09,2.03584e-06
0.00250166,1.54951e-05,-3.87503e-08,9.40673e-06
0.00375249,3.79864e-05,-8.65727e-08,2.28406e-05
0.00500333,7.14401e-05,-1.54643e-07,4.25857e-05
0.00625416,0.000115168,-2.46768e-07,6.80718e-05
0.00750499,0.000167789,-3.58477e-07,9.83679e-05
0.00875582,0.000230829,-4.79461e-07,0.000134468
0.0100067,0.000305428,-6.11939e-07,0.00017707
0.0112575,0.000392376,-7.75022e-07,0.00022643
0.0125083,0.000490611,-9.78028e-07,0.000281629
0.0137591,0.000598802,-1.19477e-06,0.000341857
0.01501,0.000718158,-1.39586e-06,0.000408175
0.0162608,0.000849759,-1.59678e-06,0.000481326
0.0175116,0.000994741,-1.85063e-06,0.00056155
0.0187625,0.0011516,-2.17021e-06,0.000647426
0.0200133,0.00131904,-2.49233e-06,0.000738334
0.0212641,0.00149819,-2.75928e-06,0.00083565
0.022515,0.00169013,-3.0118e-06,0.000940198
0.0237658,0.00189612,-3.35035e-06,0.00105194
0.0250166,0.00211443,-3.79006e-06,0.001169
0.0262675,0.00234377,-4.216e-06,0.00129098
0.0275183,0.00258514,-4.53424e-06,0.00141969
0.0287691,0.00283981,-4.82008e-06,0.00155614
0.03002,0.00310899,-5.23619e-06,0.00169977
0.0312708,0.00339084,-5.79838e-06,0.00184826
0.0325216,0.00368402,-6.32499e-06,0.00200149
0.0337724,0.00398933,-6.6793e-06,0.00216173
0.0350233,0.00430843,-6.98075e-06,0.00233031
0.0362741,0.00464247,-7.46617e-06,0.00250606
0.0375249,0.00498932,-8.15133e-06,0.00268601
0.0387758,0.00534772,-8.77467e-06,0.00287043
0.0400266,0.00571828,-9.14902e-06,0.00306221
0.0412774,0.00610308,-9.44749e-06,0.00326303
0.0425283,0.00650317,-9.99348e-06,0.00347093
0.0437791,0.00691609,-1.0801e-05,0.00368222
0.0450299,0.00734062,-1.15159e-05,0.00389764
0.0462808,0.00777738,-1.18944e-05,0.00412087
0.0475316,0.00822872,-1.21707e-05,0.00435386
0.0487824,0.00869562,-1.27675e-05,0.00459379
0.0500333,0.0091754,-1.36955e-05,0.00483626
0.0512841,0.00966669,-1.44958e-05,0.00508237
0.0525349,0.0101702,-1.48618e-05,0.00533682
0.0537857,0.0106887,-1.50973e-05,0.00560183
0.0550366,0.0112228,-1.57343e-05,0.00587358
0.0562874,0.0117699,-1.67792e-05,0.00614693
0.0575382,0.0123283,-1.76576e-05,0.00642337
0.0587891,0.0128988,-1.79935e-05,0.00670869
0.0600399,0.0134847,-1.81685e-05,0.00700551
0.0612907,0.0140865,-1.88338e-05,0.00730881
0.0625416,0.014701,-1.99909e-05,0.00761264
0.0637924,0.0153266,-2.09381e-05,0.00791896
0.0650432,0.0159642,-2.1226e-05,0.00823479
0.0662941,0.0166176,-2.13201e-05,0.00856308
0.0675449,0.0172869,-2.20008e-05,0.00889759
0.0687957,0.0179688,-2.32634e-05,0.00923145
0.0700466,0.0186615,-2.42688e-05,0.00956717
0.0712974,0.0193661,-2.44891e-05,0.00991307
0.0725482,0.0200867,-2.44806e-05,0.0102724
0.073799,0.0208234,-2.51616e-05,0.0106378
0.0750499,0.0215726,-2.65201e-05,0.0110012
0.0763007,0.0223319,-2.7571e-05,0.0113657
0.0775515,0.0231032,-2.77023e-05,0.0117412
0.0788024,0.0238908,-2.75677e-05,0.0121312
0.0800532,0.0246945,-2.82322e-05,0.0125269
0.081304,0.0255105,-2.96746e-05,0.0129194
0.0825549,0.0263361,-3.07549e-05,0.0133122
0.0838057,0.0271736,-3.07737e-05,0.0137168
0.0850565,0.0280277,-3.04878e-05,0.014137
0.0863074,0.0288979,-3.11153e-05,0.0145625
0.0875582,0.0297801,-3.26261e-05,0.0149835
0.088809,0.0306714,-3.37167e-05,0.015404
0.0900599,0.0315745,-3.35963e-05,0.0158371
0.0913107,0.0324944,-3.31301e-05,0.0162871
0.0925615,0.0334306,-3.36971e-05,0.0167421
0.0938123,0.0343784,-3.52562e-05,0.017191
0.0950632,0.0353346,-3.63336e-05,0.0176385
0.096314,0.0363025,-3.60432e-05,0.0180997
0.0975648,0.0372876,-3.53641e-05,0.0185789
0.0988157,0.0382891,-3.58421e-05,0.0190629
0.100067,0.0393017,-3.74244e-05,0.0195392
0.101317,0.0403221,-3.84595e-05,0.0200133
0.102568,0.0413542,-3.79637e-05,0.0205021
0.103819,0.0424036,-3.7034e-05,0.0210101
0.10507,0.0434696,-3.73892e-05,0.0215226
0.106321,0.0445462,-3.89629e-05,0.0220258
0.107571,0.04563,-3.99204e-05,0.022526
0.108822,0.0467254,-3.91773e-05,0.0230419
0.110073,0.0478384,-3.79532e-05,0.0235783
0.111324,0.0489681,-3.81446e-05,0.024119
0.112575,0.0501081,-3.96707e-05,0.0246488
0.113826,0.0512544,-4.05076e-05,0.0251747
0.115076,0.0524124,-3.94682e-05,0.0257173
0.116327,0.0535882,-3.78983e-05,0.0262819
0.117578,0.0547809,-3.78768e-05,0.0268505
0.118829,0.0559834,-3.93073e-05,0.0274065
0.12008,0.0571917,-3.99717e-05,0.0279578
0.121331,0.0584114,-3.8578e-05,0.028527
0.122581,0.0596494,-3.66021e-05,0.0291196
0.123832,0.0609045,-3.63088e-05,0.029716
0.125083,0.0621688,-3.75855e-05,0.0302981
0.126334,0.0634384,-3.80149e-05,0.0308747
0.127585,0.0647193,-3.61988e-05,0.0314705
0.128836,0.066019,-3.37463e-05,0.0320911
0.130086,0.067336,-3.31119e-05,0.0327154
0.131337,0.0686617,-3.41644e-05,0.0333236
0.132588,0.0699921,-3.42846e-05,0.0339257
0.133839,0.0713339,-3.19664e-05,0.0345481
0.13509,0.0726949,-2.89549e-05,0.0351971
0.136341,0.0740736,-2.7897e-05,0.0358495
0.137591,0.0754605,-2.86426e-05,0.0364843
0.138842,0.0768516,-2.83659e-05,0.0371122
0.140093,0.0782541,-2.54528e-05,0.0377618
0.141344,0.0796765,-2.17866e-05,0.0384398
0.142595,0.0811168,-2.02093e-05,0.039121
0.143846,0.0825651,-2.05503e-05,0.039783
0.145096,0.0840171,-1.97749e-05,0.0404375
0.146347,0.0854807,-1.61598e-05,0.0411152
0.147598,0.0869648,-1.17298e-05,0.041823
0.148849,0.0884673,-9.52266e-06,0.0425341
0.1501,0.0899775,-9.34643e-06,0.0432244
0.151351,0.0914911,-7.95519e-06,0.0439067
0.152601,0.0930165,-3.51653e-06,0.0446138
0.153852,0.0945632,1.80176e-06,0.0453529
0.155103,0.096129,4.76431e-06,0.0460954
0.156354,0.0977023,5.58609e-06,0.0468156
0.157605,0.0992787,7.72549e-06,0.0475275
0.158856,0.100867,1.31242e-05,0.0482658
0.160106,0.102478,1.94697e-05,0.0490383
0.161357,0.104109,2.3328e-05,0.0498143
0.162608,0.105747,2.49382e-05,0.0505667
0.163859,0.107388,2.79728e-05,0.0513104
0.16511,0.109042,3.44821e-05,0.0520826
0.166361,0.110719,4.20068e-05,0.052891
0.167611,0.112418,4.69149e-05,0.0537034
0.168862,0.114123,4.94699e-05,0.0544908
0.170113,0.115832,5.35592e-05,0.0552696
0.171364,0.117554,6.13406e-05,0.0560788
0.172615,0.119301,7.02078e-05,0.0569267
0.173866,0.12107,7.63297e-05,0.0577789
0.175116,0.122847,7.99958e-05,0.0586053
0.176367,0.124627,8.53084e-05,0.059423
0.177618,0.126421,9.45317e-05,0.0602734
0.178869,0.128242,0.00010491,0.0611651
0.18012,0.130086,0.000112416,0.0620617
0.181371,0.131939,0.000117364,0.0629317
0.182621,0.133795,0.000124072,0.0637933
0.183872,0.135667,0.000134908,0.06469
0.185123,0.137567,0.000146968,0.0656308
0.186374,0.139491,0.000156025,0.0665773
0.187625,0.141425,0.000162423,0.0674966
0.188876,0.143364,0.000170693,0.068408
0.190126,0.14532,0.000183305,0.0693573
0.191377,0.147306,0.000197205,0.0703536
0.192628,0.149318,0.000207971,0.0713567
0.193879,0.15134,0.000215973,0.0723321
0.19513,0.153369,0.000225955,0.0733005
0.196381,0.155416,0.000240487,0.0743095
0.197631,0.157496,0.000256365,0.0753689
0.198882,0.159604,0.000268971,0.0764363
0.200133,0.161723,0.000278706,0.0774759
0.201384,0.16385,0.00029052,0.0785095
0.202635,0.165998,0.000307082,0.0795869
0.203885,0.168181,0.000325037,0.0807181
0.205136,0.170394,0.000339575,0.0818587
0.206387,0.172621,0.000351124,0.0829717
0.207638,0.174857,0.000364842,0.08408
0.208889,0.177115,0.000383492,0.0852355
0.21014,0.179412,0.000403568,0.0864483
0.21139,0.181742,0.000420068,0.0876723
0.212641,0.184088,0.000433451,0.088869
0.213892,0.186443,0.000449077,0.0900624
0.215143,0.188825,0.0004698,0.0913068
0.216394,0.191248,0.000491964,0.0926122
0.217645,0.193707,0.000510377,0.0939306
0.218895,0.196183,0.000525528,0.0952223
0.220146,0.198672,0.000542977,0.0965124
0.221397,0.201189,0.000565665,0.0978572
0.222648,0.203751,0.000589785,0.099267
0.223899,0.206353,0.000609961,0.100692
0.22515,0.208974,0.000626709,0.10209
0.2264,0.21161,0.000645786,0.103489
0.227651,0.214277,0.000670219,0.104947
0.228902,0.216993,0.000696048,0.106473
0.230153,0.219751,0.000717715,0.108017
0.231404,0.222532,0.000735767,0.109535
0.232655,0.225329,0.000756155,0.111055
0.233905,0.228161,0.000781982,0.112638
0.235156,0.231045,0.000809143,0.114293
0.236407,0.233975,0.000831899,0.115968
0.237658,0.23693,0.00085083,0.117618
