time,drag,lift,deltap
0,0,0,0
0.00125,6.76986e-07,-6.87996e-09,4.29096e-07
0.0025,8.28109e-06,-2.69139e-08,5.04618e-06
0.00375,2.5731e-05,-6.00146e-08,1.54492e-05
0.005,5.30404e-05,-1.15532e-07,3.1504e-05
0.00625,9.04374e-05,-1.77196e-07,5.32446e-05
0.0075,0.000138246,-2.6031e-07,8.07773e-05
0.00875,0.000196726,-3.55861e-07,0.000114177
0.01,0.000266097,-4.63887e-07,0.0001535
0.01125,0.000346556,-5.89186e-07,0.000198798
0.0125,0.000438287,-7.22734e-07,0.000250115
0.01375,0.000541458,-8.77438e-07,0.000307494
0.015,0.000656228,-1.04587e-06,0.000370972
0.01625,0.000784635,-1.22369e-06,0.000441747
0.0175,0.000931729,-1.42196e-06,0.000522728
0.01875,0.00109294,-1.62197e-06,0.000610986
0.02,0.00126593,-1.84552e-06,0.000705099
0.02125,0.00145142,-2.07297e-06,0.000805501
0.0225,0.00164966,-2.31036e-06,0.000912314
0.02375,0.00186063,-2.56479e-06,0.00102548
0.025,0.00208437,-2.82302e-06,0.00114499
0.02625,0.00232095,-3.09897e-06,0.00127086
0.0275,0.00257044,-3.38483e-06,0.00140309
0.02875,0.00283289,-3.67609e-06,0.00154169
0.03,0.00310829,-3.98616e-06,0.0016866
0.03125,0.00339622,-4.29648e-06,0.00183755
0.0325,0.00369501,-4.62468e-06,0.00199349
0.03375,0.00400078,-4.9595e-06,0.00215213
0.035,0.00431804,-5.30436e-06,0.00231627
0.03625,0.00464917,-5.6623e-06,0.00248727
0.0375,0.00499334,-6.02781e-06,0.00266456
0.03875,0.00535037,-6.40728e-06,0.00284799
0.04,0.00572048,-6.79715e-06,0.00303767
0.04125,0.00610379,-7.19198e-06,0.00323363
0.0425,0.00650029,-7.60174e-06,0.00343586
0.04375,0.00691005,-8.0134e-06,0.00364434
0.045,0.00733316,-8.43983e-06,0.00385911
0.04625,0.00776979,-8.87305e-06,0.00408025
0.0475,0.00822079,-9.31182e-06,0.00430824
0.04875,0.00868777,-9.76183e-06,0.00454403
