geometry,physVelocity:0,physVelocity:1,physPressure,knudsen,Points:0,Points:1
1.00000000e+00,8.06575000e-01,-2.10904524e-01,5.13937771e-01,4.62518568e-04,1.00000000e+00,1.00000000e+00
1.00000000e+00,8.18846583e-01,-2.25663185e-01,5.05790770e-01,5.61079592e-04,1.04999995e+00,1.00000000e+00
1.00000000e+00,8.22630942e-01,-2.22508356e-01,5.21168709e-01,4.37204697e-04,1.00000000e+00,1.04999995e+00
1.00000000e+00,8.34503055e-01,-2.37095684e-01,5.03272474e-01,4.42086486e-04,1.04999995e+00,1.04999995e+00
1.00000000e+00,8.32643092e-01,-2.39432320e-01,4.97167498e-01,6.38270110e-04,1.10000002e+00,1.00000000e+00
1.00000000e+00,8.46416175e-01,-2.54096001e-01,5.09843528e-01,5.87922288e-04,1.10000002e+00,1.04999995e+00
1.00000000e+00,8.48055959e-01,-2.52038449e-01,4.88302052e-01,7.07074592e-04,1.14999998e+00,1.00000000e+00
1.00000000e+00,8.62231910e-01,-2.69356221e-01,5.01912415e-01,7.46943115e-04,1.14999998e+00,1.04999995e+00
1.00000000e+00,8.64810824e-01,-2.64002025e-01,4.78492260e-01,7.84853823e-04,1.20000005e+00,1.00000000e+00
1.00000000e+00,8.78943145e-01,-2.79850811e-01,4.80288446e-01,6.38897007e-04,1.20000005e+00,1.04999995e+00
1.00000000e+00,8.82380426e-01,-2.75772810e-01,4.67242181e-01,8.00025766e-04,1.25000000e+00,1.00000000e+00
1.00000000e+00,8.95190001e-01,-2.93846577e-01,4.78919417e-01,7.55175832e-04,1.25000000e+00,1.04999995e+00
1.00000000e+00,9.01614845e-01,-2.87389070e-01,4.54167455e-01,8.40603898e-04,1.29999995e+00,1.00000000e+00
1.00000000e+00,9.16773200e-01,-3.09912235e-01,4.60122466e-01,1.09233079e-03,1.29999995e+00,1.04999995e+00
1.00000000e+00,9.23392236e-01,-2.99727231e-01,4.38417166e-01,9.81570105e-04,1.35000002e+00,1.00000000e+00
