"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.33551455e-01,6.60162605e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.37994027e-01,8.22814275e-03,2.00000003e-01,0.00000000e+00,0.00000000e+00
3.00000000e+00,1.85603812e-01,0.00000000e+00,5.23642480e-01,2.03119442e-02,0.00000000e+00,2.00000003e-01,0.00000000e+00
1.00000000e+00,1.98344201e-01,-1.35476757e-02,5.30723751e-01,6.81041088e-03,2.00000003e-01,2.00000003e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.20746052e-01,8.38309433e-03,4.00000006e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.20652103e-01,-1.03201335e-02,5.26940286e-01,6.43606111e-03,4.00000006e-01,2.00000003e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.17625511e-01,9.81007889e-03,6.00000024e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.38572657e-01,-1.24654053e-02,5.14489889e-01,6.96484093e-03,6.00000024e-01,2.00000003e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.11329174e-01,1.11677423e-02,8.00000012e-01,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.61322737e-01,-1.57096442e-02,5.06046832e-01,7.50510627e-03,8.00000012e-01,2.00000003e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.97133344e-01,1.23605290e-02,1.00000000e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,2.92651981e-01,-1.94867980e-02,5.00412941e-01,8.15106928e-03,1.00000000e+00,2.00000003e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.93459314e-01,1.44731235e-02,1.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,3.31484288e-01,-2.51339898e-02,4.87839013e-01,9.38748010e-03,1.20000005e+00,2.00000003e-01,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.70018864e-01,1.64709687e-02,1.39999998e+00,0.00000000e+00,0.00000000e+00
