time,drag,lift,deltap
0,0,0,0
0.00125433,4.11596e-07,-2.24064e-09,2.67002e-07
0.00250865,6.98891e-06,-1.47059e-08,4.2736e-06
0.00376298,2.34447e-05,-3.44764e-08,1.40862e-05
0.0050173,4.99527e-05,-6.72317e-08,2.96586e-05
0.00627163,8.66962e-05,-1.03425e-07,5.10798e-05
0.00752595,0.000133796,-1.49215e-07,7.80691e-05
0.00878028,0.000191649,-2.05848e-07,0.000111209
0.0100346,0.000260644,-2.72417e-07,0.000150247
0.0112889,0.000340429,-3.39355e-07,0.000194982
0.0125433,0.000432049,-4.2152e-07,0.000246517
0.0137976,0.000534819,-5.17208e-07,0.00030315
0.0150519,0.000649299,-6.0135e-07,0.000366769
0.0163062,0.00077612,-7.18548e-07,0.000436373
0.0175606,0.000913894,-8.25034e-07,0.000511321
0.0188149,0.00106623,-9.40388e-07,0.000595119
0.0200692,0.00123684,-1.08854e-06,0.000687021
0.0213235,0.00142427,-1.19659e-06,0.000789465
0.0225779,0.00162529,-1.35817e-06,0.000897729
0.0238322,0.00183673,-1.49647e-06,0.00101042
0.0250865,0.00206338,-1.64148e-06,0.00113294
0.0263408,0.00230168,-1.82273e-06,0.00125793
0.0275952,0.00255314,-1.95123e-06,0.0013924
0.0288495,0.00281949,-2.15896e-06,0.00153275
0.0301038,0.0030959,-2.31251e-06,0.00167685
0.0313581,0.00338899,-2.48869e-06,0.00183271
0.0326125,0.00369304,-2.71257e-06,0.00198878
0.0338668,0.00401051,-2.84562e-06,0.00215588
0.0351211,0.00434393,-3.10476e-06,0.00232857
0.0363754,0.00468559,-3.27236e-06,0.0025034
0.0376298,0.00504476,-3.46964e-06,0.00269179
0.0388841,0.00540857,-3.73751e-06,0.00287443
0.0401384,0.00578084,-3.87128e-06,0.003067
0.0413927,0.00616977,-4.17688e-06,0.00326472
0.0426471,0.00656653,-4.36237e-06,0.00346391
0.0439014,0.00698339,-4.57906e-06,0.00367989
0.0451557,0.00740889,-4.89458e-06,0.00389011
0.04641,0.00784779,-5.02865e-06,0.00411517
0.0476644,0.00830491,-5.38115e-06,0.00434503
0.0489187,0.00876722,-5.57804e-06,0.00457413
0.050173,0.00925179,-5.81617e-06,0.00482307
0.0514273,0.0097441,-6.17136e-06,0.00506294
0.0526817,0.0102501,-6.29488e-06,0.0053201
0.053936,0.0107759,-6.70029e-06,0.00558164
0.0551903,0.0113056,-6.89687e-06,0.00584106
0.0564446,0.011861,-7.14775e-06,0.00612434
0.057699,0.012427,-7.55039e-06,0.00639723
0.0589533,0.0130122,-7.6488e-06,0.00669311
0.0602076,0.0136198,-8.09803e-06,0.00699332
0.0614619,0.0142273,-8.29128e-06,0.0072882
0.0627163,0.014862,-8.54274e-06,0.00760997
0.0639706,0.0155022,-8.97624e-06,0.0079149
0.0652249,0.0161567,-9.04398e-06,0.00824274
0.0664792,0.0168342,-9.5328e-06,0.00857386
0.0677336,0.0175101,-9.7093e-06,0.00889813
