"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,5.96913472e-02,-4.16024663e-02,-2.64480382e-01,3.43856914e-03,2.17000008e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,2.37402305e-01,1.06027797e-02,2.17499995e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.10029869e-01,-4.02317755e-02,-9.08956379e-02,3.23431520e-03,2.17000008e+00,4.99999989e-03,0.00000000e+00
1.00000000e+00,1.05116412e-01,-4.84039309e-03,1.16566263e-01,8.17057397e-03,2.17499995e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.83489111e-02,5.59916254e-03,2.18000007e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.15304492e-01,4.72803600e-03,6.84900507e-02,3.79251060e-03,2.18000007e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.69809154e-02,5.68555901e-03,2.18499994e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.16684087e-01,-1.98971736e-03,6.61328658e-02,4.78929374e-03,2.18499994e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.83399940e-02,7.07170181e-03,2.19000006e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.21034622e-01,-3.36440955e-03,5.96180297e-02,6.20887429e-03,2.19000006e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.88155878e-02,5.32289315e-03,2.19499993e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.23697989e-01,2.44882796e-03,5.35697006e-02,4.96679451e-03,2.19499993e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.90182920e-02,6.27010083e-03,2.20000005e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.21550620e-01,-9.39792895e-04,3.60815413e-02,5.58568398e-03,2.20000005e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.30844671e-02,5.97646600e-03,2.20499992e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.21462084e-01,7.19016010e-04,2.59845965e-02,5.28480951e-03,2.20499992e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.51206050e-02,5.88647416e-03,2.21000004e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.21192783e-01,1.17701059e-03,2.34441441e-02,5.63021936e-03,2.21000004e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,1.67235527e-02,5.46453381e-03,2.21499991e+00,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.21010952e-01,-1.14388671e-03,1.34468479e-02,5.28733991e-03,2.21499991e+00,4.99999989e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,8.62893462e-03,6.47726888e-03,2.22000003e+00,0.00000000e+00,0.00000000e+00
4.00000000e+00,1.23856328e-01,0.00000000e+00,0.00000000e+00,1.99195165e-02,2.22000003e+00,4.99999989e-03,0.00000000e+00
1.00000000e+00,1.65239424e-01,-4.00255956e-02,2.89677456e-02,3.89740756e-03,2.17000008e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,1.66731879e-01,-3.48783769e-02,4.70386818e-02,5.56942075e-03,2.17499995e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,1.91412330e-01,-4.65242105e-04,9.39773619e-02,3.38890776e-03,2.18000007e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.08946228e-01,-1.13262311e-02,8.24033320e-02,4.19701263e-03,2.18499994e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.09576741e-01,-3.83348041e-03,4.52931933e-02,3.84563743e-03,2.19000006e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.14730382e-01,-8.24466872e-04,4.82326671e-02,4.26145131e-03,2.19499993e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.19608337e-01,-1.75763597e-03,4.12411802e-02,4.20501037e-03,2.20000005e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.19490349e-01,1.56426767e-03,2.84270365e-02,3.94825591e-03,2.20499992e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.18998253e-01,1.46380579e-03,1.92145407e-02,4.14232584e-03,2.21000004e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.20626891e-01,-4.41638753e-03,1.00145284e-02,3.90887447e-03,2.21499991e+00,9.99999978e-03,0.00000000e+00
4.00000000e+00,2.25539118e-01,0.00000000e+00,0.00000000e+00,3.39406133e-02,2.22000003e+00,9.99999978e-03,0.00000000e+00
1.00000000e+00,2.26699799e-01,-3.91355641e-02,8.75546038e-02,2.40214705e-03,2.17000008e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.33307168e-01,-4.72318791e-02,7.20492601e-02,5.22395503e-03,2.17499995e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.51545250e-01,-2.54579298e-02,7.99022317e-02,4.62780287e-03,2.18000007e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.70543277e-01,-2.58121826e-02,6.35234639e-02,5.25302626e-03,2.18499994e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.81811446e-01,-7.26358127e-03,5.75001352e-02,3.36901890e-03,2.19000006e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.89681852e-01,-8.67193379e-03,4.75570336e-02,3.62155796e-03,2.19499993e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.91722029e-01,-1.93024834e-03,3.69910039e-02,3.43000819e-03,2.20000005e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.93275416e-01,1.09809649e-03,2.89505012e-02,3.44813359e-03,2.20499992e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.95204818e-01,-5.49538585e-04,1.70790926e-02,3.11260228e-03,2.21000004e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.97164232e-01,-7.82958884e-03,8.78351554e-03,2.74332054e-03,2.21499991e+00,1.49999997e-02,0.00000000e+00
4.00000000e+00,3.02895725e-01,0.00000000e+00,0.00000000e+00,4.51930426e-02,2.22000003e+00,1.49999997e-02,0.00000000e+00
1.00000000e+00,2.90271640e-01,-4.31067683e-02,1.07530490e-01,1.41019013e-03,2.17000008e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.08463871e-01,-5.73951378e-02,9.69044417e-02,5.83839323e-03,2.17499995e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.23132396e-01,-4.76750992e-02,6.20551184e-02,4.20011813e-03,2.18000007e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.33626628e-01,-3.66355032e-02,5.55711985e-02,4.25068801e-03,2.18499994e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.43582273e-01,-1.59379840e-02,6.66408464e-02,3.22485296e-03,2.19000006e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.48391145e-01,-1.25568807e-02,4.50724065e-02,3.28689674e-03,2.19499993e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.49024653e-01,-3.28356028e-03,3.08001209e-02,2.61622667e-03,2.20000005e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.52994680e-01,-2.34225229e-03,2.68049147e-02,2.93344585e-03,2.20499992e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.56284678e-01,-2.16554315e-03,1.84553098e-02,2.38455925e-03,2.21000004e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.56714725e-01,-1.04131009e-02,8.72185826e-03,1.92906696e-03,2.21499991e+00,1.99999996e-02,0.00000000e+00
4.00000000e+00,3.60700399e-01,0.00000000e+00,0.00000000e+00,5.38490899e-02,2.22000003e+00,1.99999996e-02,0.00000000e+00
1.00000000e+00,3.52605641e-01,-6.16685301e-02,1.06871985e-01,1.92038505e-03,2.17000008e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,3.75675619e-01,-7.62764961e-02,8.33288059e-02,5.42942015e-03,2.17499995e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,3.87837380e-01,-5.58006577e-02,7.22152889e-02,3.02078389e-03,2.18000007e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,3.89211923e-01,-3.89765240e-02,6.30656034e-02,3.57870641e-03,2.18499994e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,3.91719103e-01,-2.45291330e-02,4.67949137e-02,3.06908204e-03,2.19000006e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,3.95919979e-01,-1.43880183e-02,3.93346585e-02,2.97251670e-03,2.19499993e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,3.99738580e-01,-5.93703426e-03,3.69989946e-02,2.20703939e-03,2.20000005e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,4.01585549e-01,-4.95240465e-03,2.48391815e-02,2.39217211e-03,2.20499992e+00,2.50000004e-02,0.00000000e+00
1.00000000e+00,4.02448207e-01,-3.39823286e-03,1.47494534e-02,2.01113662e-03,2.21000004e+00,2.50000004e-02,0.00000000e+00
