time,drag,lift,deltap
0,0,0,0
0.00116667,0,0,0
0.00233333,5.69122e-09,4.90505e-12,5.64042e-09
0.0035,1.00332e-06,1.33365e-09,6.86281e-07
0.00466667,7.6838e-06,8.63138e-09,4.92084e-06
0.00583334,2.13264e-05,7.54341e-09,1.23427e-05
0.007,3.95126e-05,2.59683e-08,2.28451e-05
0.00816667,7.37069e-05,4.79157e-08,4.45603e-05
0.00933334,0.00011086,9.75732e-10,6.14154e-05
0.0105,0.000155724,1.05315e-07,9.05638e-05
0.0116667,0.00022783,4.90548e-08,0.000131586
0.0128333,0.00028038,2.74896e-08,0.000152937
0.014,0.000371252,2.19366e-07,0.000216693
0.0151667,0.000463801,-5.99603e-08,0.000254323
0.0163333,0.00054049,2.31833e-07,0.000300692
0.0175,0.000687034,1.4898e-07,0.000390394
0.0186667,0.000770642,-4.92703e-08,0.000411205
0.0198333,0.000917222,4.9037e-07,0.000520386
0.021,0.00107459,-1.59588e-07,0.000581843
0.0221667,0.00117457,3.79086e-07,0.000636882
0.0233333,0.00140601,3.22536e-07,0.00078532
0.0245,0.00151834,-1.8146e-07,0.000797264
0.0256667,0.00172219,8.64711e-07,0.000956825
0.0268333,0.00195269,-2.84993e-07,0.0010439
0.028,0.00206915,5.46705e-07,0.00110114
0.0291667,0.00239683,5.55755e-07,0.0013189
0.0303333,0.00253478,-3.74492e-07,0.00131319
0.0315,0.00279733,1.32529e-06,0.0015282
0.0326667,0.00310906,-4.46091e-07,0.0016428
0.0338334,0.00323459,7.31048e-07,0.00169545
0.035,0.00366869,8.51005e-07,0.00199245
0.0361667,0.00382912,-6.16794e-07,0.00196068
0.0373334,0.00415093,1.88035e-06,0.00223553
0.0385,0.00455104,-6.28037e-07,0.00237931
0.0396667,0.00467832,9.41856e-07,0.00242077
0.0408334,0.00522793,1.20457e-06,0.00280611
0.042,0.00540757,-9.10621e-07,0.00274032
0.0431667,0.00578896,2.51886e-06,0.00307896
0.0443334,0.00628384,-8.42827e-07,0.00325334
0.0455,0.00640584,1.16846e-06,0.00327747
0.0466667,0.00707931,1.61215e-06,0.00375952
0.0478334,0.00727473,-1.24918e-06,0.00365207
0.049,0.00771589,3.24542e-06,0.00405833
0.0501667,0.0083112,-1.07529e-06,0.0042643
0.0513334,0.00842104,1.42582e-06,0.0042653
0.0525,0.00922611,2.07978e-06,0.00485193
0.0536667,0.00943368,-1.6265e-06,0.00469537
0.0548334,0.00993471,4.05396e-06,0.00517291
0.056,0.0106356,-1.33175e-06,0.00541124
0.0571667,0.0107265,1.70377e-06,0.00538361
0.0583334,0.0116704,2.5959e-06,0.00608215
0.0595,0.0118864,-2.04039e-06,0.00586931
0.0606667,0.0124473,4.94538e-06,0.00642168
0.0618334,0.0132586,-1.60186e-06,0.00669306
0.063,0.0133259,2.01619e-06,0.00663273
0.0641667,0.0144205,3.167e-06,0.00745313
0.0653334,0.0146523,-2.48738e-06,0.00718357
0.0665,0.0152913,5.904e-06,0.00782459
0.0676667,0.0162417,-1.90858e-06,0.00814329
0.0688334,0.016308,2.33092e-06,0.00806165
0.07,0.0175865,3.75177e-06,0.0090249
0.0711667,0.0178488,-2.99673e-06,0.00870159
0.0723334,0.0185727,6.90262e-06,0.00943727
0.0735,0.0196595,-2.26533e-06,0.00979828
0.0746667,0.0197009,2.64819e-06,0.0096796
0.0758334,0.0211441,4.35852e-06,0.0107764
0.077,0.0214069,-3.54175e-06,0.0103776
0.0781667,0.0221927,7.96781e-06,0.0111979
0.0793334,0.0234003,-2.6376e-06,0.0115904
0.0805,0.0233987,3.00483e-06,0.0114242
0.0816667,0.0250055,5.01214e-06,0.0126567
0.0828334,0.0252623,-4.09832e-06,0.0121752
0.084,0.0261105,9.11033e-06,0.0130843
0.0851667,0.0274433,-3.0161e-06,0.013509
0.0863334,0.0273959,3.40932e-06,0.0132935
0.0875,0.0291732,5.71679e-06,0.0146679
0.0886667,0.0294213,-4.64858e-06,0.0140988
0.0898334,0.0303331,1.03447e-05,0.0151007
0.091,0.031793,-3.38263e-06,0.0155564
0.0921667,0.0316941,3.88221e-06,0.0152884
0.0933334,0.0336461,6.48363e-06,0.016809
0.0945,0.0338801,-5.17792e-06,0.0161461
0.0956667,0.0348553,1.16752e-05,0.0172437
0.0968334,0.0364427,-3.73059e-06,0.0177286
0.098,0.036287,4.43476e-06,0.0174054
0.0991667,0.0384171,7.32051e-06,0.0190757
0.100333,0.038632,-5.6645e-06,0.0183131
0.1015,0.0396708,1.31215e-05,0.0195099
0.102667,0.041386,-4.03534e-06,0.0200218
0.103833,0.0411686,5.0946e-06,0.0196414
0.105,0.0434807,8.24533e-06,0.0214648
0.106167,0.0436714,-6.0841e-06,0.020597
0.107333,0.0447748,1.46977e-05,0.0218968
0.1085,0.0466181,-4.28307e-06,0.0224333
0.109667,0.0463347,5.87938e-06,0.0219942
0.110833,0.0488323,9.27051e-06,0.0239739
0.112,0.0489941,-6.41207e-06,0.0229957
0.113167,0.0501633,1.64248e-05,0.0244025
0.114333,0.052134,-4.44692e-06,0.0249608
0.1155,0.0517809,6.82137e-06,0.0244623
0.116667,0.0544674,1.04197e-05,0.0266008
0.117833,0.0545953,-6.61593e-06,0.0255074
0.119,0.0558318,1.8327e-05,0.0270252
0.120167,0.0579292,-4.50237e-06,0.0276021
0.121333,0.0575025,7.94852e-06,0.0270438
0.1225,0.0603804,1.17137e-05,0.029343
0.123667,0.0604676,-6.6636e-06,0.0281288
0.124833,0.0617715,2.04309e-05,0.0297609
0.126,0.0639918,-4.41719e-06,0.0303515
0.127167,0.0634866,9.30008e-06,0.0297327
0.128333,0.0665566,1.31856e-05,0.0321934
0.1295,0.0665949,-6.50747e-06,0.030852
0.130667,0.0679624,2.2781e-05,0.0325997
0.131833,0.0702932,-4.1413e-06,0.0331941
0.133,0.069691,1.09339e-05,0.032507
0.134167,0.0729358,1.48866e-05,0.0351192
0.135333,0.0728986,-6.08578e-06,0.033635
0.1365,0.074315,2.54312e-05,0.0354939
0.137667,0.0767441,-3.61829e-06,0.036083
0.138833,0.0760429,1.29105e-05,0.0353305
0.14,0.0794752,1.68679e-05,0.0381021
0.141167,0.0793749,-5.3398e-06,0.0364822
0.142333,0.0808652,2.8426e-05,0.0384705
0.1435,0.0834119,-2.81005e-06,0.0390626
0.144667,0.0826297,1.52613e-05,0.0382584
0.145833,0.0862673,1.91427e-05,0.0411987
0.147,0.0861085,-4.24963e-06,0.0394449
0.148167,0.0876821,3.17793e-05,0.0415711
0.149333,0.0903448,-1.6925e-06,0.0421616
0.1505,0.0894801,1.8027e-05,0.0413085
0.151667,0.0933236,2.17553e-05,0.0444163
0.152833,0.0930988,-2.74931e-06,0.0425243
0.154,0.0947585,3.55545e-05,0.0447932
0.155167,0.0975328,-1.9811e-07,0.0453763
0.156333,0.0965856,2.12765e-05,0.0444787
0.1575,0.100639,2.47603e-05,0.0477548
0.158667,0.100344,-7.76937e-07,0.0457229
0.159833,0.102097,3.98023e-05,0.0481421
0.161,0.104981,1.72846e-06,0.0487135
0.162167,0.103955,2.50727e-05,0.0477781
0.163333,0.108222,2.82165e-05,0.0512237
0.1645,0.107855,1.74454e-06,0.049051
0.165667,0.109709,4.45963e-05,0.0516288
0.166833,0.112702,4.16748e-06,0.052184
0.168,0.111599,2.95011e-05,0.0512183
0.169167,0.116086,3.21998e-05,0.054834
0.170333,0.115643,4.90116e-06,0.0525204
0.1715,0.117607,5.00103e-05,0.0552655
0.172667,0.120705,7.19682e-06,0.0557996
0.173833,0.11953,3.46446e-05,0.0548122
0.175,0.124241,3.67871e-05,0.0585988
0.176167,0.12372,8.78779e-06,0.0561446
0.177333,0.125805,5.61357e-05,0.0590664
0.1785,0.129006,1.09189e-05,0.0595747
0.179667,0.127765,4.06136e-05,0.0585757
0.180833,0.132706,4.20822e-05,0.0625339
0.182,0.132105,1.35219e-05,0.0599407
0.183167,0.134321,6.30785e-05,0.0630496
0.184333,0.137623,1.54441e-05,0.0635277
0.1855,0.136323,4.75203e-05,0.0625286
0.186667,0.141501,4.81896e-05,0.0666594
0.187833,0.140819,1.92245e-05,0.0639305
0.189,0.143182,7.0953e-05,0.0672387
0.190167,0.146586,2.08999e-05,0.067684
0.191333,0.14524,5.55014e-05,0.0666999
0.1925,0.150665,5.52426e-05,0.0710061
0.193667,0.149905,2.60457e-05,0.0681471
0.194833,0.152432,7.98983e-05,0.0716683
0.196,0.15594,2.74308e-05,0.072079
0.197167,0.154564,6.46993e-05,0.071128
0.198333,0.160254,6.33734e-05,0.0756163
0.1995,0.159432,3.41322e-05,0.0726398
0.200667,0.162154,9.00517e-05,0.0763957
0.201833,0.165779,3.51899e-05,0.0767765
0.203,0.164397,7.52775e-05,0.0758807
0.204167,0.170365,7.27471e-05,0.080554
0.205333,0.169478,4.36739e-05,0.0774641
0.2065,0.172402,0.000101599,0.0814619
0.207667,0.17613,4.43841e-05,0.0818003
0.208833,0.174737,8.74528e-05,0.080967
0.21,0.180974,8.35839e-05,0.0858163
0.211167,0.18001,5.49159e-05,0.0826122
0.212333,0.183144,0.000114779,0.0868602
0.2135,0.186966,5.52684e-05,0.0871499
0.214667,0.185575,0.000101481,0.0863972
0.215833,0.192091,9.61341e-05,0.0914243
0.217,0.191056,6.81231e-05,0.088117
0.218167,0.194423,0.000129842,0.0926326
0.219333,0.198343,6.81077e-05,0.0928736
0.2205,0.196974,0.000117628,0.0922242
0.221667,0.203781,0.000110664,0.0974314
0.222833,0.202681,8.35825e-05,0.0940321
0.224,0.206303,0.000147064,0.0988309
0.225167,0.21032,8.32016e-05,0.0990212
0.226333,0.208991,0.000136194,0.0984967
0.2275,0.216099,0.000127477,0.103884
0.228667,0.214938,0.000101621,0.100404
0.229833,0.218836,0.000166764,0.105502
0.231,0.222951,0.000100893,0.105639
0.232167,0.221681,0.000157525,0.105262
0.233333,0.229099,0.000146924,0.110831
0.2345,0.227885,0.000122609,0.107283
0.235667,0.232081,0.000189299,0.112694
0.236833,0.236294,0.000121563,0.112778
0.238,0.235105,0.000181997,0.112572
0.239167,0.242843,0.000169387,0.11832
0.240333,0.241583,0.000146952,0.114719
0.2415,0.246101,0.000215067,0.120458
0.242667,0.250412,0.000145639,0.120487
0.243833,0.249324,0.000210038,0.120476
0.245,0.257392,0.000195304,0.126403
0.246167,0.256094,0.000175104,0.122762
0.247333,0.260956,0.00024451,0.128842
0.2485,0.265364,0.000173591,0.128815
0.249667,0.264401,0.000242106,0.129022
0.250833,0.272806,0.000225148,0.135125
0.252,0.271478,0.00020756,0.131458
0.253167,0.276704,0.000278113,0.137892
0.254333,0.281206,0.000205939,0.137804
0.2555,0.280386,0.000278721,0.138251
0.256667,0.289131,0.000259452,0.144522
0.257833,0.287775,0.000244868,0.140841
0.259,0.293382,0.000316417,0.147636
0.260167,0.297972,0.000243253,0.147483
0.261333,0.297313,0.000320436,0.14819
0.2625,0.306398,0.000298794,0.154621
0.263667,0.305014,0.00028762,0.150937
0.264833,0.311011,0.000360009,0.158096
0.266,0.315674,0.000286158,0.157868
0.267167,0.315183,0.000367869,0.158848
0.268333,0.324599,0.000343813,0.165425
0.2695,0.323187,0.000336463,0.161747
0.270667,0.329589,0.00040953,0.169276
0.271833,0.334322,0.000335321,0.168972
0.273,0.334027,0.000421663,0.170249
0.274167,0.343786,0.000395174,0.17697
0.275333,0.342364,0.000392063,0.173321
0.2765,0.349199,0.000465641,0.18123
0.277667,0.354004,0.000391436,0.180853
0.278833,0.353932,0.000482503,0.182449
0.28,0.364033,0.000453603,0.189306
0.281167,0.362607,0.000455161,0.185699
0.282333,0.369883,0.000529104,0.19399
0.2835,0.374748,0.00045531,0.193532
0.284667,0.374908,0.000551196,0.195463
0.285833,0.385342,0.000519953,0.202441
0.287,0.38391,0.000526618,0.198887
0.288167,0.391633,0.000600795,0.207558
0.289333,0.396545,0.000527861,0.207015
0.2905,0.396952,0.000628656,0.209296
0.291667,0.407708,0.000595187,0.216382
0.292833,0.406273,0.000607414,0.212896
0.294,0.414451,0.000681723,0.221948
0.295167,0.419396,0.000610143,0.221316
0.296333,0.420064,0.000715946,0.223964
0.2975,0.431133,0.000680426,0.231146
0.298667,0.429696,0.000698685,0.227743
0.299833,0.438334,0.000773062,0.237174
0.301,0.443299,0.000703379,0.236451
0.302167,0.444241,0.0008143,0.239482
0.303333,0.455611,0.000776968,0.246746
0.3045,0.454173,0.000801752,0.243442
0.305667,0.463276,0.000876176,0.25325
0.306833,0.468247,0.000808987,0.252435
0.308,0.469476,0.000925155,0.255864
0.309167,0.481134,0.000886318,0.263198
0.310333,0.479699,0.00091814,0.260009
0.3115,0.48927,0.000992634,0.270191
0.312667,0.494234,0.000928585,0.269284
0.313833,0.495765,0.00105015,0.273126
0.315,0.507698,0.00101017,0.280517
0.316167,0.506271,0.00104957,0.277463
0.317333,0.516315,0.0011242,0.288014
0.3185,0.521262,0.00106398,0.287016
0.319667,0.523111,0.00119109,0.291287
0.320833,0.535309,0.00115041,0.298723
0.322,0.533899,0.00119792,0.295823
0.323167,0.544424,0.00127279,0.306742
0.324333,0.549345,0.00121713,0.305656
0.3255,0.551533,0.00134996,0.310373
0.326667,0.563985,0.00130906,0.317843
0.327833,0.562603,0.00136522,0.315118
0.329,0.573616,0.00144048,0.326399
0.330167,0.578506,0.00139013,0.325231
0.331333,0.581056,0.00152884,0.330411
0.3325,0.593757,0.00148824,0.337905
0.333667,0.59242,0.0015536,0.335378
0.334834,0.603929,0.0016294,0.347017
0.336,0.608781,0.00158515,0.345773
0.337167,0.611709,0.00172989,0.351426
0.338334,0.624639,0.00169016,0.358928
0.3395,0.623346,0.00176523,0.356614
0.340667,0.635341,0.00184177,0.368594
0.341834,0.640133,0.00180439,0.367269
0.343,0.643442,0.0019553,0.373401
