time,drag,lift,deltap
0,0,0,0
0.005,2.05624e-06,-5.88419e-09,1.25954e-06
0.01,1.29454e-05,-2.46559e-08,7.77495e-06
0.015,3.34183e-05,-5.54153e-08,1.98279e-05
0.02,6.38997e-05,-9.87722e-08,3.75545e-05
0.025,0.000104722,-1.53677e-07,6.10543e-05
0.03,0.000156171,-2.22986e-07,9.04105e-05
0.035,0.000221264,-3.03411e-07,0.000127369
0.04,0.000299812,-3.95966e-07,0.00017164
0.045,0.000389729,-4.97211e-07,0.000221918
0.05,0.000491378,-6.09529e-07,0.000278373
0.055,0.000604869,-7.34116e-07,0.00034102
0.06,0.000730303,-8.69123e-07,0.000409868
0.065,0.000866841,-1.01295e-06,0.000484356
0.07,0.00101158,-1.16731e-06,0.00056274
0.075,0.00116872,-1.33249e-06,0.000647557
0.08,0.00133798,-1.5099e-06,0.00073854
0.085,0.00151957,-1.69724e-06,0.000835782
0.09,0.00171363,-1.89457e-06,0.000939313
0.095,0.00192068,-2.10047e-06,0.0010494
0.1,0.00214366,-2.31797e-06,0.00116776
0.105,0.00238071,-2.5429e-06,0.00129313
0.11,0.0026307,-2.77652e-06,0.00142485
0.115,0.00289387,-3.01768e-06,0.00156302
0.12,0.00317023,-3.26577e-06,0.00170762
0.125,0.00345961,-3.52278e-06,0.00185851
0.13,0.00376053,-3.78664e-06,0.00201479
0.135,0.00407157,-4.05838e-06,0.00217561
0.14,0.0043964,-4.33812e-06,0.00234319
0.145,0.00473423,-4.62443e-06,0.00251699
0.15,0.00508535,-4.91946e-06,0.00269715
0.155,0.00544987,-5.22111e-06,0.00288371
0.16,0.00582874,-5.52862e-06,0.0030772
0.165,0.00622434,-5.84222e-06,0.00327899
0.17,0.00663385,-6.16167e-06,0.0034873
0.175,0.00705709,-6.48536e-06,0.00370204
0.18,0.00749412,-6.81411e-06,0.00392321
0.185,0.00794488,-7.14725e-06,0.00415076
0.19,0.0084089,-7.48368e-06,0.00438438
0.195,0.00888446,-7.82389e-06,0.00462304
0.2,0.00937151,-8.16896e-06,0.00486675
0.205,0.00987286,-8.51878e-06,0.00511718
0.21,0.0103876,-8.87254e-06,0.0053737
0.215,0.0109159,-9.22865e-06,0.0056365
0.22,0.0114582,-9.5881e-06,0.00590568
0.225,0.0120157,-9.95074e-06,0.006182
0.23,0.0125898,-1.03154e-05,0.00646627
0.235,0.0131774,-1.06811e-05,0.00675655
0.24,0.0137791,-1.10471e-05,0.00705323
0.245,0.0143948,-1.14137e-05,0.00735616
0.25,0.0150243,-1.17807e-05,0.00766524
0.255,0.0156667,-1.2148e-05,0.00798002
0.26,0.0163206,-1.25144e-05,0.00829953
0.265,0.016987,-1.2881e-05,0.00862447
0.27,0.0176676,-1.32472e-05,0.00895584
0.275,0.0183616,-1.36125e-05,0.0092931
0.28,0.0190693,-1.39772e-05,0.00963647
0.285,0.0197911,-1.43398e-05,0.00998618
0.29,0.0205285,-1.46996e-05,0.010343
0.295,0.0212819,-1.50566e-05,0.0107072
0.3,0.0220484,-1.54095e-05,0.011077
0.305,0.0228291,-1.5758e-05,0.0114531
0.31,0.0236236,-1.6101e-05,0.0118352
0.315,0.0244315,-1.64389e-05,0.012223
0.32,0.0252519,-1.67711e-05,0.0126161
0.325,0.0260836,-1.70975e-05,0.0130138
0.33,0.0269284,-1.74176e-05,0.0134171
0.335,0.0277869,-1.77307e-05,0.0138264
0.34,0.0286587,-1.80365e-05,0.0142413
0.345,0.0295441,-1.83343e-05,0.0146622
0.35,0.0304437,-1.86237e-05,0.0150894
0.355,0.0313587,-1.89035e-05,0.0155235
0.36,0.0322888,-1.9172e-05,0.0159643
0.365,0.0332317,-1.94289e-05,0.0164104
0.37,0.0341885,-1.96729e-05,0.0168626
0.375,0.0351586,-1.99041e-05,0.0173204
