time,drag,lift,deltap
0,0,0,0
0.0025,2.03702e-06,-6.19089e-09,1.25649e-06
0.005,1.2815e-05,-2.67632e-08,7.75131e-06
0.0075,3.30771e-05,-6.09379e-08,1.97631e-05
0.01,6.32438e-05,-1.09298e-07,3.74259e-05
0.0125,0.000103645,-1.70914e-07,6.08375e-05
0.015,0.000154562,-2.48605e-07,9.00802e-05
0.0175,0.000218987,-3.39734e-07,0.000126896
0.02,0.000296724,-4.45235e-07,0.000170987
0.0225,0.000385717,-5.6122e-07,0.000221058
0.025,0.000486324,-6.90209e-07,0.000277277
0.0275,0.000598658,-8.33302e-07,0.000339659
0.03,0.000722818,-9.88811e-07,0.000408214
0.0325,0.000857972,-1.15489e-06,0.000482378
0.035,0.00100125,-1.33269e-06,0.000560422
0.0375,0.00115684,-1.52333e-06,0.000644872
0.04,0.00132441,-1.72813e-06,0.000735462
0.0425,0.00150421,-1.94483e-06,0.000832284
0.045,0.00169637,-2.17352e-06,0.000935368
0.0475,0.00190141,-2.41287e-06,0.00104498
0.05,0.00212223,-2.66643e-06,0.00116283
0.0525,0.00235698,-2.92969e-06,0.00128767
0.055,0.00260455,-3.20381e-06,0.00141882
0.0575,0.00286519,-3.4875e-06,0.00155639
0.06,0.0031389,-3.78027e-06,0.00170036
0.0625,0.00342553,-4.08395e-06,0.00185061
0.065,0.00372359,-4.39638e-06,0.0020062
0.0675,0.00403169,-4.71819e-06,0.00216633
0.07,0.00435347,-5.0502e-06,0.00233319
0.0725,0.00468815,-5.39083e-06,0.00250624
0.075,0.005036,-5.74222e-06,0.00268563
0.0775,0.00539715,-6.1024e-06,0.00287139
0.08,0.00577254,-6.47081e-06,0.00306407
0.0825,0.0061645,-6.84796e-06,0.00326501
0.085,0.00657025,-7.23312e-06,0.00347243
0.0875,0.00698962,-7.62471e-06,0.00368626
0.09,0.00742267,-8.02354e-06,0.00390649
0.0925,0.00786933,-8.42888e-06,0.00413308
0.095,0.00832914,-8.83961e-06,0.00436571
0.0975,0.0088004,-9.25582e-06,0.00460335
0.1,0.00928308,-9.67852e-06,0.00484604
0.1025,0.00977995,-1.01082e-05,0.00509541
0.105,0.0102901,-1.0544e-05,0.00535085
