geometry,ux,uy,p,knudsen,x,y
2,0,0,0.461842,0.00371093047,0,0
2,0,0,0.46230796,0.00395631883,0.111111,0
3,0.105463386,0,0.448393345,0.0120552815,0,0.111111
1,0.108339481,-0.00128757686,0.441428989,0.00397966336,0.111111,0.111111
2,0,0,0.430333018,0.00335480669,0.222222,0
1,0.113740176,-0.0044569876,0.444800049,0.00349059631,0.222222,0.111111
2,0,0,0.442442507,0.00511527248,0.333332986,0
1,0.122155011,-0.00831158739,0.440137714,0.00465560891,0.333332986,0.111111
2,0,0,0.448440135,0.00476631103,0.444444001,0
1,0.131836638,-0.00202703965,0.43519944,0.00416702777,0.444444001,0.111111
2,0,0,0.426555634,0.004999456,0.555554986,0
1,0.135238752,-0.0026076166,0.441850245,0.00406043278,0.555554986,0.111111
2,0,0,0.434002101,0.00569517491,0.666665971,0
1,0.145424277,-0.00973143149,0.431553602,0.00507576717,0.666665971,0.111111
2,0,0,0.430957526,0.00563659519,0.777777016,0
1,0.165411517,-0.0084353704,0.413574576,0.0055977134,0.777777016,0.111111
2,0,0,0.415504068,0.00700697163,0.888888001,0
1,0.176517457,-0.00791090447,0.425399691,0.00549156172,0.888888001,0.111111
2,0,0,0.418521523,0.00841737539,0.999998987,0
1,0.185642824,-0.00767910387,0.428444594,0.00590295112,0.999998987,0.111111
2,0,0,0.404653162,0.00700990111,1.11110997,0
1,0.207214594,-0.00825068075,0.390200615,0.00640020613,1.11110997,0.111111
2,0,0,0.385790199,0.00817922782,1.22222102,0
1,0.232995659,-0.0156650804,0.373317063,0.00802801549,1.22222102,0.111111
2,0,0,0.388828039,0.0111360038,1.33333194,0
1,0.251382172,-0.0137509294,0.399984568,0.00827431865,1.33333194,0.111111
2,0,0,0.372446299,0.0112482393,1.44444299,0
1,0.266175866,-0.00728303241,0.386873543,0.00742962444,1.44444299,0.111111
2,0,0,0.338389128,0.0105776936,1.55555403,0
1,0.286945939,-0.00717410864,0.318933457,0.00863489229,1.55555403,0.111111
2,0,0,0.334079564,0.0117871193,1.66666496,0
1,0.312110335,-0.0123790866,0.308676243,0.0107493987,1.66666496,0.111111
2,0,0,0.31860745,0.0132990824,1.777776,0
1,0.335685521,-0.0205086768,0.351090193,0.0105605703,1.777776,0.111111
2,0,0,0.289185107,0.0148402117,1.88888705,0
1,0.352669686,-0.0088495221,0.303422391,0.00993007608,1.88888705,0.111111
2,0,0,0.286368757,0.0149174538,1.99999797,0
1,0.361335695,0.0069303452,0.232886091,0.0107835932,1.99999797,0.111111
2,0,0,0.235423714,0.01314699,2.11110902,0
1,0.375187069,-0.0115256822,0.257311136,0.0114537748,2.11110902,0.111111
2,0,0,0.22019729,0.0150827868,2.22221994,0
1,0.390616238,-0.0123634171,0.246280342,0.0119246598,2.22221994,0.111111
2,0,0,0.243318737,0.0167534519,2.33333111,0
1,0.396770298,0.00164916168,0.199835941,0.0124036893,2.33333111,0.111111
2,0,0,0.174922824,0.0141905611,2.44444203,0
1,0.401616842,0.00166831911,0.197285369,0.0116981948,2.44444203,0.111111
2,0,0,0.167976961,0.0148353083,2.55555296,0
1,0.40109989,-0.00205070456,0.174572602,0.0121724633,2.55555296,0.111111
2,0,0,0.178376049,0.0159537382,2.66666389,0
1,0.399330616,0.00151371339,0.15458782,0.0129079847,2.66666389,0.111111
2,0,0,0.137576893,0.0138951223,2.77777505,0
1,0.39775458,0.00603750069,0.15614152,0.0122644939,2.77777505,0.111111
2,0,0,0.134743437,0.0141167352,2.88888597,0
1,0.388952136,0.00217203284,0.137171894,0.0124549288,2.88888597,0.111111
2,0,0,0.131277367,0.0141936857,2.9999969,0
1,0.380086333,0.0065724384,0.117569812,0.0124690691,2.9999969,0.111111
2,0,0,0.117693856,0.0129756257,3.11110806,0
1,0.37173897,0.00683922693,0.124229059,0.0124535002,3.11110806,0.111111
2,0,0,0.113028482,0.0123709459,3.22221899,0
1,0.359945923,0.0052124518,0.122485138,0.0120983394,3.22221899,0.111111
2,0,0,0.111958392,0.0123108411,3.33332992,0
1,0.346541256,0.00748948101,0.104677022,0.0119084017,3.33332992,0.111111
2,0,0,0.110437512,0.0114870947,3.44444108,0
1,0.334314257,0.00840315875,0.10662207,0.011799505,3.44444108,0.111111
2,0,0,0.108783737,0.0105249714,3.55555201,0
1,0.321636111,0.00666196086,0.118941918,0.0114732804,3.55555201,0.111111
2,0,0,0.111100167,0.0102028549,3.66666293,0
1,0.306875229,0.0066543147,0.11299333,0.0109561291,3.66666293,0.111111
2,0,0,0.115714416,0.00992903113,3.7777741,0
1,0.293181926,0.00799871329,0.107959807,0.0107298233,3.7777741,0.111111
2,0,0,0.119109638,0.00897208508,3.88888502,0
1,0.281584889,0.00707034767,0.122407213,0.0104783233,3.88888502,0.111111
2,0,0,0.124044113,0.00837799627,3.99999595,0
1,0.268980682,0.00573451491,0.131726965,0.0100562777,3.99999595,0.111111
2,0,0,0.131286547,0.00823181495,4.11110687,0
1,0.255749971,0.00616493495,0.127926573,0.00957868155,4.11110687,0.111111
2,0,0,0.138485804,0.00782772712,4.22221804,0
1,0.245210469,0.00604227697,0.134967715,0.00934214424,4.22221804,0.111111
2,0,0,0.145862117,0.00714307744,4.3333292,0
1,0.23645547,0.00463347789,0.151503354,0.00906795263,4.3333292,0.111111
2,0,0,0.154385135,0.00686037587,4.44443989,0
1,0.226856843,0.0042793164,0.157072172,0.00872591138,4.44443989,0.111111
2,0,0,0.163092986,0.00674738642,4.55555105,0
1,0.217659503,0.00456785737,0.159126073,0.00838830601,4.55555105,0.111111
2,0,0,0.171478391,0.0063895327,4.66666222,0
1,0.210700542,0.00364006357,0.172045052,0.00817978103,4.66666222,0.111111
2,0,0,0.179999277,0.00605164701,4.7777729,0
1,0.204518959,0.00281057041,0.184446588,0.00791387167,4.7777729,0.111111
2,0,0,0.188565612,0.00596129196,4.88888407,0
1,0.197797105,0.00325479987,0.187756032,0.00767715788,4.88888407,0.111111
2,0,0,0.196277633,0.00580376852,4.99999523,0
1,0.19150798,0.00336771249,0.194142312,0.00744696334,4.99999523,0.111111
2,0,0,0.203091264,0.00555873709,5.11110592,0
1,0.185960591,0.00248928065,0.206020296,0.00721122511,5.11110592,0.111111
2,0,0,0.209468707,0.00542604178,5.22221708,0
1,0.180192813,0.00243395055,0.211651564,0.00691365544,5.22221708,0.111111
2,0,0,0.215103522,0.00538689131,5.33332777,0
1,0.174244285,0.00311669707,0.213074535,0.00669329986,5.33332777,0.111111
2,0,0,0.21926555,0.00515689375,5.44443893,0
1,0.168578386,0.00297039305,0.219582677,0.00645365939,5.44443893,0.111111
2,0,0,0.222279668,0.00500306441,5.5555501,0
1,0.162646204,0.00244682166,0.22560513,0.00615602452,5.5555501,0.111111
2,0,0,0.224516779,0.0049683731,5.66666079,0
1,0.156247675,0.00286021805,0.224712774,0.00582895894,5.66666079,0.111111
2,0,0,0.225525916,0.00485047465,5.77777195,0
1,0.150050223,0.00336976722,0.224142626,0.00559285935,5.77777195,0.111111
2,0,0,0.225047216,0.00458523072,5.88888311,0
1,0.143759936,0.00330535579,0.227063641,0.00533825811,5.88888311,0.111111
2,0,0,0.223555326,0.00443892833,5.9999938,0
1,0.136372477,0.00358550064,0.225946888,0.00504074851,5.9999938,0.111111
2,0,0,0.22109808,0.00428455463,6.11110497,0
1,0.12805216,0.00451678457,0.220530182,0.0047368654,6.11110497,0.111111
2,0,0,0.217558146,0.0039502997,6.22221613,0
1,0.11929889,0.00516493386,0.217691928,0.00449426472,6.22221613,0.111111
2,0,0,0.213320166,0.00354369101,6.33332682,0
1,0.109496213,0.00556437951,0.21588549,0.0042077559,6.33332682,0.111111
2,0,0,0.208908722,0.00320253777,6.44443798,0
1,0.0983093828,0.0062055029,0.210216567,0.00387763325,6.44443798,0.111111
2,0,0,0.204645038,0.00277542416,6.55554914,0
1,0.0867303163,0.00670196535,0.204264343,0.00355126802,6.55554914,0.111111
2,0,0,0.201094612,0.00224569347,6.66665983,0
1,0.0755351409,0.00653335126,0.20214951,0.00326877856,6.66665983,0.111111
2,0,0,0.198878437,0.00175580359,6.777771,0
1,0.0647648871,0.00604216522,0.200733438,0.00296041556,6.777771,0.111111
2,0,0,0.198484331,0.00137092266,6.88888216,0
1,0.0550979525,0.00539168436,0.198562831,0.00267646299,6.88888216,0.111111
2,0,0,0.200310469,0.00100310764,6.99999285,0
1,0.0477182865,0.00429298496,0.19979386,0.00246662297,6.99999285,0.111111
2,0,0,0.204648569,0.000694556453,7.11110401,0
1,0.0430008247,0.0027533276,0.205313325,0.00233533047,7.11110401,0.111111
2,0,0,0.211509719,0.00053749833,7.22221518,0
1,0.0408645049,0.00119809189,0.211828664,0.00223844638,7.22221518,0.111111
2,0,0,0.220787629,0.000543485396,7.33332586,0
1,0.0416778326,-0.000314130302,0.219664469,0.00237291772,7.33332586,0.111111
2,0,0,0.232208133,0.00062246836,7.44443703,0
1,0.0456332564,-0.00187478843,0.231304795,0.00266501447,7.44443703,0.111111
2,0,0,0.245296344,0.000810886966,7.55554819,0
1,0.0521389656,-0.00328995474,0.245151386,0.00297932746,7.55554819,0.111111
2,0,0,0.259485334,0.00113707047,7.66665888,0
1,0.0605570786,-0.00428184494,0.258619249,0.00330929877,7.66665888,0.111111
2,0,0,0.274267375,0.00154274586,7.77777004,0
1,0.0705826133,-0.00493313093,0.272736758,0.00367637817,7.77777004,0.111111
2,0,0,0.289096504,0.00195090473,7.88888121,0
1,0.0815927088,-0.00530420616,0.288297564,0.00401748111,7.88888121,0.111111
