"geometry","physVelocity:0","physVelocity:1","physPressure","knudsen","Points:0","Points:1","Points:2"
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.68151933e-01,6.07732916e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.84768486e-01,6.89110602e-04,8.33333004e-03,0.00000000e+00,0.00000000e+00
3.00000000e+00,6.05997518e-02,0.00000000e+00,3.52816939e-01,4.17152466e-03,0.00000000e+00,8.33333004e-03,0.00000000e+00
1.00000000e+00,6.87762424e-02,-4.72002244e-03,3.67753923e-01,2.25757645e-03,8.33333004e-03,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.67111176e-01,5.48761513e-04,1.66666601e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,8.04833248e-02,-7.04593118e-03,3.82536203e-01,1.95053290e-03,1.66666601e-02,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,3.90381694e-01,1.94563181e-03,2.49999892e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,8.93406421e-02,-8.55185557e-03,3.95091206e-01,2.42976565e-03,2.49999892e-02,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.28332865e-01,1.90748961e-03,3.33333202e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.00249887e-01,-3.68009263e-04,4.12615985e-01,2.25186511e-03,3.33333202e-02,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.32742268e-01,1.47823314e-03,4.16666493e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.06872246e-01,-1.15127128e-03,4.44200784e-01,1.98055711e-03,4.16666493e-02,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,4.61231530e-01,2.42034020e-03,4.99999784e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.15043923e-01,-7.65497563e-03,4.68885988e-01,2.66134855e-03,4.99999784e-02,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.07478297e-01,2.53013405e-03,5.83333112e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.31265730e-01,-2.72706291e-03,4.86566782e-01,2.85018259e-03,5.83333112e-02,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.30700028e-01,2.43768492e-03,6.66666403e-02,0.00000000e+00,0.00000000e+00
1.00000000e+00,1.41693711e-01,-1.58039655e-03,5.32561481e-01,2.61763646e-03,6.66666403e-02,8.33333004e-03,0.00000000e+00
2.00000000e+00,0.00000000e+00,0.00000000e+00,5.60436904e-01,3.33191175e-03,7.49999732e-02,0.00000000e+00,0.00000000e+00
