time,drag,lift,deltap
0,0,0,0
0.0099537,3.0378e-08,-8.61355e-11,2.81937e-08
0.0199074,4.00382e-06,-3.30876e-08,2.42379e-06
0.0298611,1.6901e-05,-5.16733e-08,9.89769e-06
0.0398148,4.03315e-05,-1.08433e-07,2.32271e-05
0.0497685,7.43211e-05,-1.54817e-07,4.22404e-05
0.0597222,0.000118759,-2.52855e-07,6.68473e-05
0.0696759,0.000173927,-3.12405e-07,9.69739e-05
0.0796296,0.000239887,-4.43166e-07,0.000132739
0.0895833,0.000316988,-5.29618e-07,0.000174142
0.099537,0.000405607,-6.49473e-07,0.000221278
0.109491,0.00050531,-8.48969e-07,0.000274123
0.119444,0.000617228,-9.09842e-07,0.000332715
0.129398,0.00074043,-1.15771e-06,0.00039709
0.139352,0.000875752,-1.28843e-06,0.000467216
0.149306,0.00102351,-1.45034e-06,0.000543192
0.159259,0.00118251,-1.78601e-06,0.000624936
0.169213,0.00135509,-1.77553e-06,0.000712512
0.179167,0.0015389,-2.23027e-06,0.000805927
0.18912,0.0017357,-2.33437e-06,0.000905141
0.199074,0.00194565,-2.54202e-06,0.00101025
0.209028,0.00216722,-3.03025e-06,0.0011215
0.218981,0.00240923,-2.92911e-06,0.00124178
0.228935,0.00267037,-3.60588e-06,0.00137256
0.238889,0.00294954,-3.6422e-06,0.00151127
0.248843,0.00324339,-3.8882e-06,0.00165613
0.258796,0.00354714,-4.55388e-06,0.00180615
0.26875,0.0038674,-4.29304e-06,0.00196185
0.278704,0.00419816,-5.19691e-06,0.0021235
0.288657,0.00454405,-5.15979e-06,0.00229106
0.298611,0.0049049,-5.42352e-06,0.00246472
0.308565,0.00527585,-6.2877e-06,0.00264417
0.318519,0.00566523,-5.81843e-06,0.00282941
0.328472,0.00606408,-7.00774e-06,0.00302064
0.338426,0.00647843,-6.83736e-06,0.00321748
0.34838,0.00690821,-7.14633e-06,0.00342037
0.358333,0.00734691,-8.21482e-06,0.00362893
0.368287,0.00780577,-7.49429e-06,0.0038432
0.378241,0.00827274,-8.98903e-06,0.00406339
0.388194,0.00875594,-8.68623e-06,0.00428907
0.398148,0.00925499,-9.01528e-06,0.00452074
0.408102,0.00976101,-1.03051e-05,0.00475757
