time,drag,lift,deltap
0,0,0,0
0.01,6.82839e-07,-5.76127e-09,4.36332e-07
0.02,8.3111e-06,-2.16205e-08,5.09033e-06
0.0300001,2.5774e-05,-4.79064e-08,1.55476e-05
0.0400001,5.30675e-05,-9.25106e-08,3.16649e-05
0.0500001,9.04228e-05,-1.41571e-07,5.3478e-05
0.0600001,0.00013817,-2.09884e-07,8.10977e-05
0.0700001,0.000196568,-2.87384e-07,0.000114598
0.0800002,0.000265838,-3.74546e-07,0.000154038
0.0900002,0.000346182,-4.74933e-07,0.00019947
0.1,0.000437787,-5.82636e-07,0.000250942
0.11,0.000540822,-7.08218e-07,0.000308495
0.12,0.000655445,-8.42315e-07,0.000372167
0.13,0.000783889,-9.84581e-07,0.000443279
0.14,0.00093099,-1.14357e-06,0.000524614
0.15,0.00109199,-1.30558e-06,0.000613124
0.16,0.00126476,-1.48694e-06,0.00070751
0.17,0.00145006,-1.66735e-06,0.000808232
0.18,0.00164813,-1.85792e-06,0.000915401
0.19,0.00185894,-2.06089e-06,0.00102895
0.2,0.00208252,-2.26536e-06,0.00114888
0.21,0.00231897,-2.48607e-06,0.0012752
0.22,0.00256834,-2.71072e-06,0.0014079
0.23,0.00283068,-2.94359e-06,0.001547
0.24,0.00310595,-3.1891e-06,0.00169243
0.250001,0.00339376,-3.43315e-06,0.00184392
0.260001,0.00369209,-3.69286e-06,0.00200021
0.270001,0.00399753,-3.95459e-06,0.00215929
0.280001,0.00431485,-4.22698e-06,0.00232413
0.290001,0.00464603,-4.5075e-06,0.00249583
0.300001,0.00499019,-4.79301e-06,0.0026738
0.310001,0.00534721,-5.09252e-06,0.00285794
0.320001,0.00571735,-5.39456e-06,0.00304836
0.330001,0.00610065,-5.70515e-06,0.00324508
0.340001,0.00649717,-6.02334e-06,0.00344807
0.350001,0.00690697,-6.34511e-06,0.00365735
0.360001,0.00733011,-6.67839e-06,0.00387295
0.370001,0.0077669,-7.01172e-06,0.004095
0.380001,0.00821807,-7.35493e-06,0.00432393
0.390001,0.00868568,-7.70684e-06,0.00456096
0.400001,0.00917207,-8.05763e-06,0.00480737
0.410001,0.0096728,-8.41579e-06,0.00506039
0.420001,0.0101863,-8.77343e-06,0.00531911
0.430001,0.0107137,-9.13589e-06,0.00558424
0.440001,0.0112552,-9.50464e-06,0.00585583
0.450001,0.0118105,-9.87231e-06,0.00613373
0.460001,0.0123797,-1.02451e-05,0.00641791
0.470001,0.0129626,-1.06179e-05,0.00670835
0.480001,0.0135593,-1.09923e-05,0.00700504
0.490001,0.0141697,-1.13702e-05,0.00730788
0.500001,0.0147933,-1.17474e-05,0.0076166
0.510001,0.0154294,-1.21285e-05,0.00793069
0.520001,0.0160759,-1.25067e-05,0.008249
0.530001,0.0167315,-1.28873e-05,0.00857077
0.540001,0.0174005,-1.3271e-05,0.00889858
0.550001,0.018084,-1.36543e-05,0.00923306
0.560001,0.0187806,-1.40391e-05,0.0095734
