time,drag,lift,deltap
0,0,0,0
0.01,2.03386e-06,-5.15531e-09,1.25847e-06
0.02,1.27873e-05,-2.21873e-08,7.75405e-06
0.0300001,3.29841e-05,-5.06278e-08,1.97522e-05
0.0400001,6.30405e-05,-9.08068e-08,3.73822e-05
0.0500001,0.000103283,-1.41888e-07,6.0738e-05
0.0600001,0.000153992,-2.06275e-07,8.98979e-05
0.0700001,0.000218161,-2.81758e-07,0.000126608
0.0800002,0.000295566,-3.69525e-07,0.00017055
0.0900002,0.000384169,-4.65473e-07,0.000220433
0.1,0.00048433,-5.72153e-07,0.000276426
0.11,0.000596158,-6.90364e-07,0.000338539
0.12,0.000719754,-8.19189e-07,0.00040678
0.13,0.000854275,-9.56528e-07,0.000480579
0.14,0.000996884,-1.10356e-06,0.000558217
0.15,0.00115175,-1.26084e-06,0.000642222
0.16,0.00131854,-1.42988e-06,0.000732316
0.17,0.0014975,-1.60873e-06,0.000828592
0.18,0.00168876,-1.79764e-06,0.000931078
0.19,0.00189284,-1.99542e-06,0.00104004
0.2,0.00211264,-2.20423e-06,0.0011572
0.21,0.00234629,-2.42107e-06,0.00128127
0.22,0.0025927,-2.64722e-06,0.00141158
0.23,0.00285211,-2.88106e-06,0.00154827
0.24,0.00312453,-3.1223e-06,0.00169129
0.250001,0.0034098,-3.37169e-06,0.00184051
0.260001,0.00370643,-3.62872e-06,0.00199501
0.270001,0.00401307,-3.89367e-06,0.00215401
0.280001,0.00433334,-4.16671e-06,0.00231967
0.290001,0.00466643,-4.4463e-06,0.00249145
0.300001,0.00501265,-4.73457e-06,0.00266951
0.310001,0.00537209,-5.03042e-06,0.00285387
0.320001,0.00574573,-5.33341e-06,0.00304508
0.330001,0.00613588,-5.64277e-06,0.00324449
0.340001,0.00653971,-5.95818e-06,0.00345029
0.350001,0.00695711,-6.27917e-06,0.00366242
0.360001,0.00738813,-6.60586e-06,0.00388089
0.370001,0.0078327,-6.93762e-06,0.00410563
0.380001,0.00829035,-7.27392e-06,0.00433634
0.390001,0.00875937,-7.61458e-06,0.00457197
0.400001,0.00923981,-7.9601e-06,0.0048126
0.410001,0.00973436,-8.31066e-06,0.00505984
0.420001,0.0102421,-8.6663e-06,0.00531307
0.430001,0.0107633,-9.02612e-06,0.00557247
0.440001,0.0112983,-9.38971e-06,0.00583817
0.450001,0.0118483,-9.75709e-06,0.00611091
0.460001,0.0124148,-1.01285e-05,0.00639148
0.470001,0.0129945,-1.0502e-05,0.00667792
0.480001,0.0135883,-1.08775e-05,0.00697067
0.490001,0.0141957,-1.12546e-05,0.00726956
0.500001,0.0148168,-1.16332e-05,0.0075745
0.510001,0.0154508,-1.20136e-05,0.007885
0.520001,0.016096,-1.23941e-05,0.00820013
0.530001,0.0167536,-1.27762e-05,0.00852062
0.540001,0.0174252,-1.31593e-05,0.00884742
0.550001,0.0181101,-1.35421e-05,0.00918002
0.560001,0.0188086,-1.3926e-05,0.00951861
0.570001,0.019521,-1.43096e-05,0.00986345
0.580001,0.0202489,-1.46931e-05,0.0102153
0.590001,0.0209925,-1.50752e-05,0.0105744
0.600001,0.021749,-1.54543e-05,0.010939
0.610001,0.0225197,-1.58313e-05,0.0113097
0.620001,0.0233038,-1.62055e-05,0.0116863
0.630001,0.0241013,-1.65765e-05,0.0120686
0.640001,0.0249111,-1.69429e-05,0.012456
0.650001,0.0257321,-1.73049e-05,0.0128478
0.660001,0.0265661,-1.76634e-05,0.0132452
0.670001,0.0274137,-1.80171e-05,0.0136485
0.680001,0.0282744,-1.83656e-05,0.0140574
0.690001,0.0291485,-1.8708e-05,0.014472
0.700001,0.0300367,-1.90444e-05,0.0148928
0.710001,0.0309402,-1.93742e-05,0.0153205
0.720001,0.0318586,-1.96956e-05,0.0157547
0.730001,0.0327895,-2.00082e-05,0.0161941
0.740001,0.0337343,-2.03111e-05,0.0166395
0.750001,0.0346923,-2.06036e-05,0.0170904
0.760002,0.035663,-2.08853e-05,0.0175466
0.770002,0.0366455,-2.1155e-05,0.0180074
0.780002,0.0376391,-2.14128e-05,0.0184726
0.790002,0.0386459,-2.16582e-05,0.0189435
0.800002,0.0396656,-2.18897e-05,0.0194198
0.810002,0.0406983,-2.21071e-05,0.0199015
0.820002,0.0417441,-2.23094e-05,0.0203888
0.830002,0.042804,-2.24961e-05,0.0208822
0.840002,0.0438787,-2.26655e-05,0.0213822
0.850002,0.0449673,-2.28156e-05,0.0218882
0.860002,0.0460682,-2.2946e-05,0.0223991
0.870002,0.0471826,-2.30557e-05,0.0229157
0.880002,0.0483096,-2.31437e-05,0.0234376
0.890002,0.0494488,-2.32083e-05,0.0239644
0.900002,0.0505991,-2.3248e-05,0.0244956
0.910002,0.0517607,-2.32626e-05,0.0250313
0.920002,0.0529353,-2.32509e-05,0.0255726
0.930002,0.0541223,-2.32121e-05,0.0261189
0.940002,0.055322,-2.31442e-05,0.0266707
0.950002,0.0565346,-2.30451e-05,0.027228
0.960002,0.0577612,-2.29145e-05,0.0277913
0.970002,0.0590021,-2.27499e-05,0.028361
0.980002,0.0602559,-2.25499e-05,0.0289362
0.990002,0.061522,-2.23118e-05,0.0295165
1,0.0628011,-2.20339e-05,0.0301023
1.01,0.0640924,-2.17153e-05,0.0306932
1.02,0.0653953,-2.13535e-05,0.0312889
1.03,0.066709,-2.09471e-05,0.0318889
1.04,0.0680343,-2.04941e-05,0.0324937
1.05,0.0693724,-1.99924e-05,0.0331041
1.06,0.0707225,-1.94404e-05,0.0337196
1.07,0.0720853,-1.88353e-05,0.0343407
1.08,0.0734611,-1.8176e-05,0.0349674
1.09,0.0748507,-1.7459e-05,0.0356005
1.1,0.0762543,-1.66812e-05,0.0362399
1.11,0.0776703,-1.58406e-05,0.0368847
1.12,0.0790987,-1.49341e-05,0.0375349
1.13,0.0805399,-1.39601e-05,0.0381908
1.14,0.0819932,-1.29147e-05,0.038852
1.15,0.083458,-1.17945e-05,0.0395182
1.16,0.0849337,-1.05982e-05,0.0401891
1.17,0.0864215,-9.32241e-06,0.0408654
1.18,0.0879223,-7.96543e-06,0.0415478
1.19,0.0894353,-6.52256e-06,0.0422357
1.2,0.0909613,-4.99016e-06,0.0429298
1.21,0.0925008,-3.36627e-06,0.0436303
1.22,0.0940546,-1.64661e-06,0.0443376
1.23,0.0956223,1.71681e-07,0.0450517
1.24,0.0972026,2.09353e-06,0.0457718
1.25,0.0987962,4.12283e-06,0.0464982
1.26,0.100403,6.26247e-06,0.047231
1.27,0.102022,8.51699e-06,0.0479698
1.28,0.103653,1.08889e-05,0.0487145
1.29,0.105297,1.33831e-05,0.049465
1.3,0.106953,1.60038e-05,0.0502223
1.31,0.108624,1.8754e-05,0.0509866
1.32,0.110307,2.16388e-05,0.0517577
1.33,0.112005,2.46608e-05,0.0525362
1.34,0.113717,2.78258e-05,0.0533226
1.35,0.115446,3.1139e-05,0.0541173
1.36,0.117188,3.4604e-05,0.0549198
1.37,0.118945,3.82261e-05,0.0557299
1.38,0.120717,4.20082e-05,0.056548
1.39,0.122504,4.59566e-05,0.0573741
1.4,0.124304,5.00764e-05,0.058208
1.41,0.126118,5.43706e-05,0.0590496
1.42,0.127947,5.88446e-05,0.0598991
1.43,0.129791,6.35012e-05,0.0607576
1.44,0.13165,6.83465e-05,0.0616252
1.45,0.133526,7.3386e-05,0.0625019
1.46,0.135418,7.86226e-05,0.0633886
1.47,0.137327,8.4062e-05,0.0642855
1.48,0.139255,8.97074e-05,0.0651931
1.49,0.141199,9.55652e-05,0.0661111
1.5,0.143161,0.000101641,0.0670395
1.51,0.14514,0.000107937,0.0679787
1.52,0.147137,0.000114458,0.0689288
1.53,0.149151,0.000121208,0.0698896
1.54,0.151182,0.000128191,0.0708614
1.55,0.153231,0.000135413,0.0718447
1.56,0.1553,0.000142874,0.0728404
1.57,0.157387,0.00015058,0.0738486
1.58,0.159495,0.000158532,0.0748696
1.59,0.161624,0.000166736,0.0759045
1.6,0.163774,0.000175194,0.0769535
1.61,0.165946,0.000183909,0.0780172
1.62,0.168139,0.000192884,0.0790951
1.63,0.170355,0.00020212,0.0801877
1.64,0.172592,0.000211619,0.0812955
1.65,0.174852,0.000221385,0.0824185
1.66,0.177135,0.000231417,0.0835569
1.67,0.179439,0.000241717,0.0847108
1.68,0.181768,0.000252282,0.0858813
1.69,0.184121,0.000263115,0.0870692
1.7,0.186499,0.000274216,0.0882746
1.71,0.188903,0.000285582,0.0894981
1.72,0.191333,0.000297212,0.0907406
1.73,0.193792,0.000309104,0.0920027
1.74,0.196278,0.000321258,0.0932847
1.75,0.198792,0.00033367,0.0945865
1.76,0.201334,0.000346335,0.0959086
1.77,0.203906,0.000359251,0.0972516
1.78,0.206505,0.000372411,0.0986154
1.79,0.209134,0.000385811,0.100001
1.8,0.211793,0.000399446,0.101407
1.81,0.214482,0.000413306,0.102837
1.82,0.217204,0.000427386,0.10429
1.83,0.219957,0.000441675,0.105766
1.84,0.222744,0.000456166,0.107267
1.85,0.225565,0.000470852,0.108793
1.86,0.228421,0.000485719,0.110345
1.87,0.231313,0.000500759,0.111923
1.88,0.234239,0.000515957,0.113527
1.89,0.237202,0.000531304,0.115157
1.9,0.2402,0.000546787,0.116815
1.91,0.243236,0.00056239,0.118499
1.92,0.246307,0.000578099,0.120211
1.93,0.249417,0.000593898,0.121951
1.94,0.252565,0.000609771,0.12372
1.95,0.255752,0.000625703,0.125519
1.96,0.258979,0.000641675,0.127347
1.97,0.262248,0.00065767,0.129205
1.98,0.265558,0.000673667,0.131095
1.99,0.26891,0.000689649,0.133015
2,0.272305,0.000705597,0.134968
2.01,0.275742,0.000721491,0.136952
2.02,0.279222,0.000737308,0.138968
2.03,0.282746,0.000753027,0.141016
2.04,0.286312,0.000768626,0.143096
2.05,0.289922,0.000784084,0.145209
2.06,0.293576,0.000799377,0.147355
2.07,0.297275,0.000814481,0.149534
2.08,0.30102,0.00082937,0.151748
2.09,0.30481,0.000844024,0.153995
2.1,0.308648,0.000858417,0.156278
2.11,0.312532,0.000872523,0.158595
2.12,0.316464,0.000886317,0.160948
2.13,0.320443,0.000899773,0.163336
2.14,0.32447,0.000912865,0.165759
2.15,0.328543,0.000925569,0.168218
2.16,0.332664,0.000937854,0.170712
2.17,0.336832,0.000949694,0.173242
2.18,0.341047,0.000961059,0.175807
2.19,0.34531,0.000971921,0.178409
2.2,0.349621,0.000982254,0.181046
2.21,0.35398,0.000992023,0.183721
2.22,0.358388,0.0010012,0.186432
2.23,0.362845,0.00100975,0.189181
2.24,0.367351,0.00101765,0.191967
2.25,0.371906,0.00102487,0.19479
2.26,0.37651,0.00103136,0.197651
2.27,0.381161,0.00103709,0.20055
2.28,0.385862,0.00104204,0.203486
2.29,0.39061,0.00104616,0.206459
2.3,0.395406,0.00104942,0.20947
2.31,0.400249,0.00105178,0.212518
2.32,0.40514,0.00105321,0.215605
2.33,0.41008,0.00105365,0.21873
2.34,0.415068,0.00105308,0.221893
2.35,0.420104,0.00105145,0.225095
2.36,0.425189,0.00104872,0.228337
2.37,0.430322,0.00104485,0.231618
2.38,0.435504,0.00103979,0.234937
2.39,0.440733,0.00103351,0.238297
2.4,0.446011,0.00102596,0.241695
2.41,0.451336,0.0010171,0.245133
2.42,0.456708,0.00100689,0.24861
2.43,0.462126,0.000995273,0.252126
2.44,0.467592,0.000982219,0.255682
2.45,0.473105,0.000967684,0.259278
2.46,0.478666,0.000951626,0.262914
2.47,0.484275,0.000934007,0.266591
2.48,0.489931,0.000914787,0.270308
2.49,0.495635,0.000893932,0.274067
2.5,0.501388,0.000871409,0.277867
2.51001,0.507188,0.000847184,0.281707
2.52001,0.513036,0.000821229,0.285589
2.53001,0.518931,0.000793515,0.289512
2.54001,0.524874,0.00076402,0.293476
2.55001,0.530863,0.000732726,0.297481
2.56001,0.536899,0.000699613,0.301527
2.57001,0.542982,0.000664668,0.305615
2.58001,0.549112,0.000627881,0.309745
2.59001,0.55529,0.000589248,0.313917
2.60001,0.561516,0.000548771,0.318131
2.61001,0.567789,0.000506452,0.322387
2.62001,0.574111,0.0004623,0.326686
2.63001,0.580481,0.000416328,0.331028
2.64001,0.586898,0.000368556,0.335412
2.65001,0.593363,0.000319011,0.339839
2.66001,0.599874,0.000267718,0.344308
2.67001,0.606433,0.000214714,0.34882
2.68001,0.613038,0.000160035,0.353375
2.69001,0.61969,0.00010373,0.357971
2.70001,0.626389,4.58503e-05,0.362611
2.71001,0.633135,-1.35506e-05,0.367293
