x;cubic;linear
0;1,612503767;1,539938
0,009999999776;1,611417294;1,5388515
0,01999999955;1,610330939;1,5377651
0,02999999933;1,609849572;1,5372837
0,03999999911;1,609368205;1,5368022
0,05000000075;1,608808517;1,5362425
0,05999999866;1,608248949;1,5356828
0,0700000003;1,607501388;1,5349351
0,07999999821;1,606753826;1,5341876
0,09000000358;1,60603416;1,5334678
0,1000000015;1,605314493;1,532748
0,1099999994;1,60464716;1,5320807
0,1199999973;1,603979826;1,5314132
0,1299999952;1,603254557;1,5306878
0,1400000006;1,602529287;1,5299624
0,150000006;1,601703286;1,5291363
0,1599999964;1,600877285;1,5283103
0,1700000018;1,599962711;1,5273956
0,1800000072;1,599048018;1,5264809
0,1899999976;1,598260045;1,5256928
0,200000003;1,597472072;1,5249047
0,2099999934;1,596747637;1,5241802
0,2199999988;1,596023202;1,5234556
0,2300000042;1,594981194;1,5224136
0,2399999946;1,593939304;1,5213716
0,25;1,592899919;1,5203321
0,2599999905;1,591860533;1,5192926
0,2700000107;1,591206193;1,518638
0,2800000012;1,590551853;1,5179836
0,2899999917;1,58965528;1,517087
0,3000000119;1,588758707;1,5161903
0,3100000024;1,587489367;1,5149209
0,3199999928;1,586220026;1,5136515
0,3300000131;1,585388422;1,5128198
0,3400000036;1,584556937;1,511988
0,349999994;1,583905697;1,5113366
0,3600000143;1,583254457;1,5106851
0,3700000048;1,582034826;1,5094656
0,3799999952;1,580815315;1,5082461
0,3899999857;1,579657197;1,5070877
0,400000006;1,57849896;1,5059294
0,4099999964;1,577884197;1,5053142
0,4199999869;1,577269316;1,5046991
0,4300000072;1,576354504;1,5037843
0,4399999976;1,575439692;1,5028695
0,4499999881;1,574117661;1,5015473
0,4600000083;1,57279551;1,5002252
0,4699999988;1,571928978;1,4993583
0,4799999893;1,571062446;1,4984914
0,4900000095;1,570402503;1,4978312
0,5;1,56974256;1,497171
0,5099999905;1,568579197;1,4960079
0,5199999809;1,567415953;1,4948447
0,5299999714;1,566257596;1,4936861
0,5400000215;1,56509912;1,4925274
0,5500000119;1,564403772;1,4918315
0,5600000024;1,563708544;1,4911358
0,5699999928;1,562845945;1,4902732
0,5799999833;1,561983228;1,4894105
0,5899999738;1,560772538;1,4881999
0,6000000238;1,559561729;1,4869893
0,6100000143;1,558628082;1,4860549
0,6200000048;1,557694316;1,4851207
0,6299999952;1,55697751;1,4844034
0,6399999857;1,556260586;1,4836862
