x;linear;cubic
0;1,3442093;1,337237
0,0099999998;1,343123;1,3361505
0,02;1,3420365;1,3350641
0,029999999;1,3415546;1,3345822
0,039999999;1,3410728;1,3341004
0,050000001;1,3405125;1,3335401
0,059999999;1,3399522;1,3329799
0,07;1,339204;1,3322315
0,079999998;1,3384557;1,3314832
0,090000004;1,3377351;1,3307626
0,1;1,3370144;1,330042
0,11;1,3363459;1,3293736
0,12;1,3356774;1,3287051
0,13;1,3349508;1,3279785
0,14;1,3342241;1,3272518
0,15000001;1,3333966;1,3264242
0,16;1,3325691;1,3255968
0,17;1,3316529;1,3246806
0,18000001;1,3307365;1,3237642
0,19;1,3299466;1,3229743
0,2;1,3291568;1,3221844
0,20999999;1,3284302;1,3214579
0,22;1,3277035;1,3207313
0,23;1,3266593;1,3196871
0,23999999;1,3256153;1,318643
0,25;1,3245734;1,3176011
0,25999999;1,3235316;1,3165593
0,27000001;1,3228744;1,3159022
0,28;1,3222173;1,3152452
0,28999999;1,321318;1,3143457
0,30000001;1,3204186;1,3134463
0,31;1,3191464;1,3121741
0,31999999;1,3178742;1,310902
0,33000001;1,3170393;1,3100671
0,34;1,3162044;1,3092322
0,34999999;1,3155496;1,3085774
0,36000001;1,3148947;1,3079226
0,37;1,3136718;1,3066996
0,38;1,3124489;1,3054767
0,38999999;1,3112869;1,3043147
0,40000001;1,3101249;1,3031528
0,41;1,3095057;1,3025337
0,41999999;1,3088866;1,3019147
0,43000001;1,3079678;1,3009957
0,44;1,307049;1,3000768
0,44999999;1,3057228;1,2987506
0,46000001;1,3043966;1,2974244
0,47;1,3035252;1,2965531
0,47999999;1,3026538;1,295682
0,49000001;1,3019888;1,295017
0,5;1,301324;1,2943522
0,50999999;1,3001562;1,2931843
0,51999998;1,2989885;1,2920163
0,52999997;1,297825;1,2908528
0,54000002;1,2966615;1,2896893
0,55000001;1,2959603;1,2889884
0,56;1,2952591;1,2882874
0,56999999;1,2943913;1,2874193
0,57999998;1,2935234;1,2865514
0,58999997;1,2923076;1,2853353
0,60000002;1,2910917;1,2841192
0,61000001;1,2901515;1,2831795
0,62;1,2892113;1,2822397
0,63;1,288488;1,2815166
0,63999999;1,2877648;1,2807933
0,64999998;1,2867349;1,279763
0,66000003;1,285705;1,2787325
0,67000002;1,2845967;1,2776244
0,68000001;1,2834883;1,2765161
0,69;1,2826748;1,2757031
0,69999999;1,2818612;1,2748901
0,70999998;1,2810256;1,2740542
0,72000003;1,2801901;1,2732182
0,73000002;1,2791193;1,2721468
0,74000001;1,2780484;1,2710755
0,75;1,2770758;1,2701035
0,75999999;1,276103;1,2691315
0,76999998;1,2753022;1,2683311
0,77999997;1,2745014;1,2675304
0,79000002;1,2735738;1,2666017
0,80000001;1,2726461;1,2656729
0,81;1,2716198;1,2646468
0,81999999;1,2705934;1,2636206
0,82999998;1,2697046;1,262733
0,83999997;1,2688159;1,2618455
0,85000002;1,2679751;1,2610037
0,86000001;1,2671343;1,2601621
0,87;1,2661741;1,2592006
0,88;1,2652137;1,258239
0,88999999;1,2642488;1,2572758
0,89999998;1,2632841;1,2563127
0,91000003;1,2624226;1,2554518
