x;cubic;linear
1,909999967;1,444926858;1,3726993
1,919999957;1,444151402;1,3719336
1,929999948;1,443482041;1,371276
1,940000057;1,442812681;1,3706183
1,950000048;1,441981792;1,3698027
1,960000038;1,441150904;1,3689872
1,970000029;1,440286994;1,3681239
1,980000019;1,439423084;1,3672606
1,99000001;1,438702822;1,3628045
2;1,437982559;1,3583485
2,00999999;1,437203765;1,357754
2,019999981;1,436431408;1,3572973
2,029999971;1,435658574;1,3565656
2,039999962;1,434893847;1,3557116
2,049999952;1,434129477;1,3549043
2,059999943;1,433364391;1,3541553
2,069999933;1,432602763;1,3534194
2,079999924;1,431844234;1,3526676
2,089999914;1,431085944;1,3519018
