x;linear;cubic
1,9;1,1763611;1,1689837
1,91;1,1755831;1,1681917
1,92;1,174805;1,1673998
1,9299999;1,174148;1,1667334
1,9400001;1,1734909;1,166067
1,95;1,1726685;1,1652299
1,96;1,171846;1,1643928
1,97;1,1709638;1,1635048
1,98;1,1698633;1,1626168
1,99;1,162421;1,1619451
2;1,1609389;1,1611589
2,01;1,1603361;1,1603695
2,02;1,1598704;1,1595867
2,03;1,1591264;1,1587987
2,04;1,1582637;1,1580229
2,05;1,1574473;1,1572478
2,0599999;1,1566869;1,1564689
2,0699999;1,1559405;1,1556945
2,0799999;1,1551789;1,1549244
2,0899999;1,1544023;1,1541531
2,0999999;1,1536301;1,1533827
