geometry,ux,uy,p,x,y
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.98239648e-01,3.00000000e+00,0.00000000e+00
1.00000000e+00,3.58970433e-01,3.31491401e-06,7.98365772e-01,3.00000000e+00,1.00000001e-01
1.00000000e+00,5.09612501e-01,6.69445944e-06,7.98309624e-01,3.00000000e+00,1.50000006e-01
1.00000000e+00,6.40170455e-01,9.24223787e-06,7.98298597e-01,3.00000000e+00,2.00000003e-01
1.00000000e+00,7.50642061e-01,1.10856099e-05,7.98299968e-01,3.00000000e+00,2.50000000e-01
1.00000000e+00,8.41026962e-01,1.15535386e-05,7.98303604e-01,3.00000000e+00,3.00000012e-01
1.00000000e+00,9.11326647e-01,1.02199365e-05,7.98296034e-01,3.00000000e+00,3.49999994e-01
1.00000000e+00,9.61540699e-01,7.73406464e-06,7.98290074e-01,3.00000000e+00,4.00000006e-01
1.00000000e+00,9.91669297e-01,4.30808541e-06,7.98290670e-01,3.00000000e+00,4.49999988e-01
1.00000000e+00,1.00171196e+00,-1.02215786e-14,7.98292458e-01,3.00000000e+00,5.00000000e-01
1.00000000e+00,9.91669297e-01,-4.30808541e-06,7.98290670e-01,3.00000000e+00,5.50000012e-01
1.00000000e+00,9.61540699e-01,-7.73406464e-06,7.98290074e-01,3.00000000e+00,6.00000024e-01
1.00000000e+00,9.11326647e-01,-1.02199365e-05,7.98296034e-01,3.00000000e+00,6.49999976e-01
1.00000000e+00,8.41026962e-01,-1.15535386e-05,7.98303604e-01,3.00000000e+00,6.99999988e-01
1.00000000e+00,7.50642061e-01,-1.10856099e-05,7.98299968e-01,3.00000000e+00,7.50000000e-01
1.00000000e+00,6.40170455e-01,-9.24223878e-06,7.98298597e-01,3.00000000e+00,8.00000012e-01
1.00000000e+00,5.09612501e-01,-6.69445944e-06,7.98309624e-01,3.00000000e+00,8.50000024e-01
1.00000000e+00,3.58970433e-01,-3.31491401e-06,7.98365772e-01,3.00000000e+00,8.99999976e-01
2.00000000e+00,0.00000000e+00,0.00000000e+00,7.98239648e-01,3.00000000e+00,1.00000000e+00
