geometry;ux;uy;p;x;y
4;0,10501491;0;1;4;0,050000001
4;0,3021979;0;1;4;0,1
4;0,47633973;0;1;4;0,15000001
4;0,6270411;0;1;4;0,2
4;0,75486946;0;1;4;0,25
4;0,8595866;0;1;4;0,30000001
4;0,94110405;0;1;4;0,34999999
4;0,99936461;0;1;4;0,40000001
4;1,03435;0;1;4;0,44999999
4;1,0460171;0;1;4;0,5
4;1,03435;0;1;4;0,55000001
4;0,99936461;0;1;4;0,60000002
4;0,94110405;0;1;4;0,64999998
4;0,8595866;0;1;4;0,69999999
4;0,75486946;0;1;4;0,75
4;0,6270411;0;1;4;0,80000001
4;0,47633973;0;1;4;0,85000002
4;0,3021979;0;1;4;0,89999998
4;0,10501491;0;1;4;0,94999999
