geometry,ux,uy,p,x,y
4,0.18898219,0,1,4,0.050000001
4,0.36055607,0,1,4,0.1
4,0.51207048,0,1,4,0.15000001
4,0.64336717,0,1,4,0.2
4,0.75464326,0,1,4,0.25
4,0.84575975,0,1,4,0.30000001
4,0.91669858,0,1,4,0.34999999
4,0.96739316,0,1,4,0.40000001
4,0.99782735,0,1,4,0.44999999
4,1.0079721,0,1,4,0.5
4,0.99782735,0,1,4,0.55000001
4,0.96739316,0,1,4,0.60000002
4,0.91669858,0,1,4,0.64999998
4,0.84575975,0,1,4,0.69999999
4,0.75464326,0,1,4,0.75
4,0.64336717,0,1,4,0.80000001
4,0.51207048,0,1,4,0.85000002
4,0.36055607,0,1,4,0.89999998
4,0.18898219,0,1,4,0.94999999
