geometry,ux,uy,p,x,y
2,0,0,0.804722011,3,0
1,0.188053071,-6.25694338E-06,0.804721355,3,0.0500000007
1,0.359273285,-9.92227979E-06,0.804923654,3,0.100000001
1,0.510338843,-7.33643583E-06,0.804472744,3,0.150000006
1,0.641267955,-1.89795392E-05,0.804503441,3,0.200000003
1,0.752070367,-2.59900062E-05,0.805228114,3,0.25
1,0.842707038,-1.92911084E-05,0.804567039,3,0.300000012
1,0.913203537,-2.42753486E-05,0.804070055,3,0.349999994
1,0.963594437,-2.3000337E-05,0.805252969,3,0.400000006
1,0.993808091,-4.18859827E-06,0.804940641,3,0.449999988
1,1.00385666,-8.85579638E-15,0.803851664,3,0.5
1,0.993808091,4.18859827E-06,0.804940641,3,0.550000012
1,0.963594437,2.3000337E-05,0.805252969,3,0.600000024
1,0.913203537,2.42753486E-05,0.804070055,3,0.649999976
1,0.842707038,1.92911084E-05,0.804567039,3,0.699999988
1,0.752070367,2.59900062E-05,0.805228114,3,0.75
1,0.641267955,1.89795392E-05,0.804503441,3,0.800000012
1,0.510338843,7.33643537E-06,0.804472744,3,0.850000024
1,0.359273285,9.92227979E-06,0.804923654,3,0.899999976
1,0.188053071,6.25694338E-06,0.804721355,3,0.949999988
2,0,0,0.804722011,3,1
