geometry,ux,uy,p,x,y
4,0.18854719,0,1,4,0.050000001
4,0.35972494,0,1,4,0.1
4,0.51088881,0,1,4,0.15000001
4,0.64188212,0,1,4,0.2
4,0.75290048,0,1,4,0.25
4,0.84380579,0,1,4,0.30000001
4,0.91458023,0,1,4,0.34999999
4,0.96515727,0,1,4,0.40000001
4,0.99552077,0,1,4,0.44999999
4,1.0056421,0,1,4,0.5
4,0.99552077,0,1,4,0.55000001
4,0.96515727,0,1,4,0.60000002
4,0.91458023,0,1,4,0.64999998
4,0.84380579,0,1,4,0.69999999
4,0.75290048,0,1,4,0.75
4,0.64188212,0,1,4,0.80000001
4,0.51088881,0,1,4,0.85000002
4,0.35972494,0,1,4,0.89999998
4,0.18854719,0,1,4,0.94999999
