geometry,ux,uy,p,x,y
2,0.0821802318,-0.00975186564,0.715898037,1.89999998,0
2,0,0,2.80077624,1.95000005,0
1,0.205030546,-0.00263392879,1.30869913,1.89999998,0.0500000007
1,0.186685041,0.0189009886,1.88645959,1.95000005,0.0500000007
2,0,0,1.33092403,2,0
1,0.174457505,0.00875080843,1.26602817,2,0.0500000007
2,0,0,1.35192621,2.04999995,0
1,0.173406735,-0.00149209786,1.49070835,2.04999995,0.0500000007
2,0,0,1.63224256,2.0999999,0
1,0.178894803,-0.00604293216,1.55846131,2.0999999,0.0500000007
2,0,0,1.4366647,2.1500001,0
1,0.181022063,0.00234189862,1.48999715,2.1500001,0.0500000007
2,0,0,1.43758571,2.20000005,0
1,0.180610925,-0.00183311873,1.40734386,2.20000005,0.0500000007
2,0,0,1.41306865,2.25,0
1,0.182968527,-0.00101827958,1.3990469,2.25,0.0500000007
2,0,0,1.36537278,2.29999995,0
1,0.185082883,-0.000881215616,1.38307297,2.29999995,0.0500000007
2,0,0,1.33094609,2.3499999,0
1,0.18562986,-0.000110894616,1.32518744,2.3499999,0.0500000007
2,0,0,1.2905643,2.4000001,0
1,0.186137676,-0.000369175366,1.28227985,2.4000001,0.0500000007
2,0,0,1.2482127,2.45000005,0
1,0.186935425,-0.000384134764,1.25278866,2.45000005,0.0500000007
2,0,0,1.21136928,2.5,0
1,0.187376916,-0.000174497036,1.21107674,2.5,0.0500000007
2,0,0,1.16988766,2.54999995,0
1,0.187569767,-2.30922069E-05,1.16704619,2.54999995,0.0500000007
2,0,0,1.12862873,2.5999999,0
1,0.187790006,-0.000157598741,1.12913942,2.5999999,0.0500000007
2,0,0,1.08879316,2.6500001,0
1,0.187987253,-8.87013812E-05,1.08947492,2.6500001,0.0500000007
2,0,0,1.04891896,2.70000005,0
1,0.188082874,-8.25037205E-06,1.04766846,2.70000005,0.0500000007
2,0,0,1.00776446,2.75,0
1,0.188145787,-2.43408613E-05,1.00773537,2.75,0.0500000007
2,0,0,0.967287123,2.79999995,0
