geometry,ux,uy,p,x,y
2,0,0,0.811204255,3,0
1,0.353544086,3.35113218E-05,0.809957802,3,0.100000001
1,0.639062405,3.57507706E-05,0.810560584,3,0.200000003
1,0.842965961,-2.46162945E-05,0.811821878,3,0.300000012
1,0.965336621,-5.22930823E-05,0.810789049,3,0.400000006
1,1.00615442,3.77210749E-15,0.809465706,3,0.5
1,0.965336621,5.22930823E-05,0.810789049,3,0.600000024
1,0.842965961,2.46162945E-05,0.811821878,3,0.699999988
1,0.639062405,-3.57507706E-05,0.810560584,3,0.800000012
1,0.353544086,-3.35113218E-05,0.809957802,3,0.899999976
2,0,0,0.811204255,3,1
