geometry,ux,uy,p,x,y
4,0.1880112,0,1,4,0.050000001
4,0.35870126,0,1,4,0.1
4,0.50943297,0,1,4,0.15000001
4,0.64005154,0,1,4,0.2
4,0.75075144,0,1,4,0.25
4,0.84139568,0,1,4,0.30000001
4,0.91196662,0,1,4,0.34999999
4,0.96239835,0,1,4,0.40000001
4,0.99267453,0,1,4,0.44999999
4,1.0027666,0,1,4,0.5
4,0.99267453,0,1,4,0.55000001
4,0.96239835,0,1,4,0.60000002
4,0.91196662,0,1,4,0.64999998
4,0.84139568,0,1,4,0.69999999
4,0.75075144,0,1,4,0.75
4,0.64005154,0,1,4,0.80000001
4,0.50943297,0,1,4,0.85000002
4,0.35870126,0,1,4,0.89999998
4,0.1880112,0,1,4,0.94999999
