geometry,ux,uy,p,x,y
2,0,0,0.803492665,3,0
1,0.187750638,2.40464203E-07,0.803498328,3,0.0500000007
1,0.358689785,9.05539935E-07,0.803496599,3,0.100000001
1,0.509514749,1.76785932E-06,0.803491652,3,0.150000006
1,0.64022702,2.52414497E-06,0.803498149,3,0.200000003
1,0.750828147,3.12695261E-06,0.803502321,3,0.25
1,0.841319382,3.44884893E-06,0.8034904,3,0.300000012
1,0.911700726,3.18174193E-06,0.803488851,3,0.349999994
1,0.961972594,2.4240976E-06,0.803501427,3,0.400000006
1,0.992135882,1.35668438E-06,0.803494632,3,0.449999988
1,1.00219047,-1.05250662E-14,0.803482592,3,0.5
1,0.992135882,-1.35668438E-06,0.803494632,3,0.550000012
1,0.961972594,-2.4240976E-06,0.803501427,3,0.600000024
1,0.911700726,-3.18174193E-06,0.803488851,3,0.649999976
1,0.841319382,-3.44884893E-06,0.8034904,3,0.699999988
1,0.750828147,-3.12695261E-06,0.803502321,3,0.75
1,0.64022702,-2.52414497E-06,0.803498149,3,0.800000012
1,0.509514749,-1.76785932E-06,0.803491652,3,0.850000024
1,0.358689785,-9.05539878E-07,0.803496599,3,0.899999976
1,0.187750638,-2.40464175E-07,0.803498328,3,0.949999988
2,0,0,0.803492665,3,1
