geometry;ux;uy;p;x;y
4;0,10556783;0;1;4;0,94999999
4;0,30378494;0;1;4;0,89999998
4;0,47883838;0;1;4;0,85000002
4;0,63032639;0;1;4;0,80000001
4;0,75882447;0;1;4;0,75
4;0,86409104;0;1;4;0,69999999
4;0,94603628;0;1;4;0,64999998
4;1,0046031;0;1;4;0,60000002
4;1,0397729;0;1;4;0,55000001
4;1,0515014;0;1;4;0,5
4;1,0397729;0;1;4;0,44999999
4;1,0046031;0;1;4;0,40000001
4;0,94603628;0;1;4;0,34999999
4;0,86409104;0;1;4;0,30000001
4;0,75882447;0;1;4;0,25
4;0,63032639;0;1;4;0,2
4;0,47883838;0;1;4;0,15000001
4;0,30378494;0;1;4;0,1
4;0,10556783;0;1;4;0,050000001
